Time_Index,ERC_PHDL_batteries_1,ERC_PHDL_onshore_wind_turbine_1,ERC_PHDL_solar_photovoltaic_1,ERC_REST_batteries_1,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,ERC_REST_conventional_steam_coal_1,ERC_REST_natural_gas_fired_combined_cycle_1,ERC_REST_natural_gas_fired_combined_cycle_2,ERC_REST_natural_gas_fired_combustion_turbine_1,ERC_REST_natural_gas_fired_combustion_turbine_2,ERC_REST_natural_gas_steam_turbine_1,ERC_REST_nuclear_1,ERC_REST_onshore_wind_turbine_1,ERC_REST_other_peaker_1,ERC_REST_small_hydroelectric_1,ERC_REST_solar_photovoltaic_1,ERC_WEST_batteries_1,ERC_WEST_natural_gas_fired_combined_cycle_1,ERC_WEST_natural_gas_fired_combined_cycle_2,ERC_WEST_natural_gas_fired_combustion_turbine_1,ERC_WEST_natural_gas_fired_combustion_turbine_2,ERC_WEST_natural_gas_steam_turbine_1,ERC_WEST_onshore_wind_turbine_1,ERC_WEST_other_peaker_1,ERC_WEST_solar_photovoltaic_1,ERC_PHDL_naturalgas_ccavgcf_moderate_0,ERC_PHDL_naturalgas_ctavgcf_moderate_0,ERC_PHDL_battery_moderate_0,ERC_PHDL_nuclear_nuclear_moderate_0,ERC_PHDL_naturalgas_ccs100_moderate_0,ERC_PHDL_landbasedwind_class6_moderate_1,ERC_PHDL_landbasedwind_class6_moderate_2,ERC_PHDL_landbasedwind_class6_moderate_3,ERC_PHDL_landbasedwind_class6_moderate_4,ERC_PHDL_landbasedwind_class6_moderate_5,ERC_PHDL_landbasedwind_class6_moderate_6,ERC_PHDL_landbasedwind_class6_moderate_7,ERC_PHDL_landbasedwind_class6_moderate_8,ERC_PHDL_landbasedwind_class6_moderate_9,ERC_PHDL_landbasedwind_class6_moderate_10,ERC_PHDL_landbasedwind_class6_moderate_11,ERC_PHDL_landbasedwind_class6_moderate_12,ERC_PHDL_landbasedwind_class6_moderate_13,ERC_PHDL_landbasedwind_class6_moderate_14,ERC_PHDL_landbasedwind_class6_moderate_15,ERC_PHDL_utilitypv_class5_moderate_1,ERC_PHDL_utilitypv_class5_moderate_2,ERC_PHDL_utilitypv_class5_moderate_3,ERC_PHDL_utilitypv_class5_moderate_4,ERC_PHDL_utilitypv_class5_moderate_5,ERC_PHDL_utilitypv_class5_moderate_6,ERC_PHDL_utilitypv_class5_moderate_7,ERC_PHDL_utilitypv_class5_moderate_8,ERC_PHDL_utilitypv_class5_moderate_9,ERC_PHDL_utilitypv_class5_moderate_10,ERC_REST_naturalgas_ccavgcf_moderate_0,ERC_REST_naturalgas_ctavgcf_moderate_0,ERC_REST_naturalgas_ccccsavgcf_moderate_0,ERC_REST_battery_moderate_0,ERC_REST_nuclear_nuclear_moderate_0,ERC_REST_naturalgas_ccs100_moderate_0,ERC_REST_landbasedwind_class6_moderate_1,ERC_REST_landbasedwind_class6_moderate_2,ERC_REST_landbasedwind_class6_moderate_3,ERC_REST_landbasedwind_class6_moderate_4,ERC_REST_landbasedwind_class6_moderate_5,ERC_REST_landbasedwind_class6_moderate_6,ERC_REST_landbasedwind_class6_moderate_7,ERC_REST_landbasedwind_class6_moderate_8,ERC_REST_landbasedwind_class6_moderate_9,ERC_REST_landbasedwind_class6_moderate_10,ERC_REST_landbasedwind_class6_moderate_11,ERC_REST_landbasedwind_class6_moderate_12,ERC_REST_landbasedwind_class6_moderate_13,ERC_REST_landbasedwind_class6_moderate_14,ERC_REST_landbasedwind_class6_moderate_15,ERC_REST_utilitypv_class5_moderate_1,ERC_REST_utilitypv_class5_moderate_2,ERC_REST_utilitypv_class5_moderate_3,ERC_REST_utilitypv_class5_moderate_4,ERC_REST_utilitypv_class5_moderate_5,ERC_REST_utilitypv_class5_moderate_6,ERC_REST_utilitypv_class5_moderate_7,ERC_REST_utilitypv_class5_moderate_8,ERC_REST_utilitypv_class5_moderate_9,ERC_REST_utilitypv_class5_moderate_10,ERC_REST_offshorewind_class8_moderate_floating_1_1,ERC_REST_offshorewind_class8_moderate_floating_1_2,ERC_REST_offshorewind_class8_moderate_floating_1_3,ERC_REST_offshorewind_class8_moderate_floating_1_4,ERC_REST_offshorewind_class8_moderate_floating_1_5,ERC_REST_offshorewind_class8_moderate_floating_0_1,ERC_REST_offshorewind_class8_moderate_floating_0_2,ERC_REST_offshorewind_class8_moderate_floating_0_3,ERC_REST_offshorewind_class8_moderate_floating_0_4,ERC_REST_offshorewind_class8_moderate_floating_0_5,ERC_WEST_naturalgas_ccavgcf_moderate_0,ERC_WEST_naturalgas_ctavgcf_moderate_0,ERC_WEST_naturalgas_ccccsavgcf_moderate_0,ERC_WEST_battery_moderate_0,ERC_WEST_nuclear_nuclear_moderate_0,ERC_WEST_naturalgas_ccs100_moderate_0,ERC_WEST_landbasedwind_class6_moderate_1,ERC_WEST_landbasedwind_class6_moderate_2,ERC_WEST_landbasedwind_class6_moderate_3,ERC_WEST_landbasedwind_class6_moderate_4,ERC_WEST_landbasedwind_class6_moderate_5,ERC_WEST_landbasedwind_class6_moderate_6,ERC_WEST_landbasedwind_class6_moderate_7,ERC_WEST_landbasedwind_class6_moderate_8,ERC_WEST_landbasedwind_class6_moderate_9,ERC_WEST_landbasedwind_class6_moderate_10,ERC_WEST_landbasedwind_class6_moderate_11,ERC_WEST_landbasedwind_class6_moderate_12,ERC_WEST_landbasedwind_class6_moderate_13,ERC_WEST_landbasedwind_class6_moderate_14,ERC_WEST_landbasedwind_class6_moderate_15,ERC_WEST_utilitypv_class5_moderate_1,ERC_WEST_utilitypv_class5_moderate_2,ERC_WEST_utilitypv_class5_moderate_3,ERC_WEST_utilitypv_class5_moderate_4,ERC_WEST_utilitypv_class5_moderate_5,ERC_WEST_utilitypv_class5_moderate_6,ERC_WEST_utilitypv_class5_moderate_7,ERC_WEST_utilitypv_class5_moderate_8,ERC_WEST_utilitypv_class5_moderate_9,ERC_WEST_utilitypv_class5_moderate_10,ERC_PHDL_trans_light_duty_1,ERC_REST_trans_light_duty_1,ERC_WEST_trans_light_duty_1
1,1,0.447,0.000,1,1,0.039,1,1,1,1,1,1,1,0.147,1,1,0.000,1,1,1,1,1,1,0.245,1,0.000,1,1,1,1,1,0.700,0.711,0.826,0.781,0.725,0.721,0.621,0.668,0.703,0.505,0.554,0.566,0.238,0.418,0.474,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,1,1,1,1,1,0.163,0.267,0.294,0.076,0.167,0.281,0.096,0.075,0.337,0.129,0.143,0.317,0.203,0.214,0.262,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.376,0.397,0.395,0.254,0.067,0.177,0.179,0.181,0.203,0.226,1,1,1,1,1,1,0.521,0.509,0.525,0.616,0.686,0.560,0.494,0.532,0.592,0.351,0.410,0.456,0.217,0.287,0.329,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.045,0.045,0.045
2,1,0.391,0.000,1,1,0.039,1,1,1,1,1,1,1,0.102,1,1,0.000,1,1,1,1,1,1,0.175,1,0.000,1,1,1,1,1,0.751,0.722,0.816,0.777,0.688,0.685,0.660,0.663,0.716,0.548,0.573,0.565,0.242,0.395,0.467,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,1,1,1,1,1,0.098,0.168,0.207,0.037,0.115,0.215,0.051,0.061,0.281,0.133,0.127,0.249,0.161,0.201,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.293,0.307,0.307,0.130,0.038,0.148,0.132,0.128,0.123,0.127,1,1,1,1,1,1,0.413,0.405,0.486,0.449,0.492,0.340,0.380,0.389,0.354,0.217,0.282,0.322,0.196,0.326,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.034,0.034,0.034
3,1,0.336,0.000,1,1,0.039,1,1,1,1,1,1,1,0.063,1,1,0.000,1,1,1,1,1,1,0.156,1,0.000,1,1,1,1,1,0.604,0.604,0.733,0.632,0.587,0.550,0.540,0.562,0.616,0.463,0.479,0.461,0.276,0.371,0.453,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,1,1,1,1,1,0.110,0.143,0.175,0.038,0.087,0.154,0.024,0.041,0.158,0.052,0.091,0.121,0.163,0.193,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.180,0.196,0.198,0.156,0.155,0.164,0.143,0.137,0.120,0.112,1,1,1,1,1,1,0.461,0.332,0.394,0.467,0.477,0.283,0.421,0.407,0.320,0.213,0.285,0.339,0.174,0.318,0.348,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.010,0.010
4,1,0.368,0.000,1,1,0.039,1,1,1,1,1,1,1,0.058,1,1,0.000,1,1,1,1,1,1,0.160,1,0.000,1,1,1,1,1,0.549,0.565,0.711,0.589,0.596,0.548,0.459,0.549,0.628,0.407,0.421,0.444,0.271,0.349,0.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,1,1,1,1,1,0.112,0.156,0.235,0.037,0.104,0.188,0.023,0.048,0.164,0.048,0.084,0.109,0.173,0.185,0.186,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.073,0.119,0.170,0.216,0.284,0.257,0.219,0.207,0.172,0.154,1,1,1,1,1,1,0.607,0.378,0.451,0.544,0.495,0.299,0.441,0.431,0.319,0.219,0.306,0.367,0.172,0.296,0.356,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.018,0.018
5,1,0.320,0.000,1,1,0.039,1,1,1,1,1,1,1,0.070,1,1,0.003,1,1,1,1,1,1,0.096,1,0.000,1,1,1,1,1,0.505,0.529,0.658,0.540,0.564,0.559,0.382,0.515,0.682,0.373,0.407,0.486,0.296,0.326,0.469,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.024,0.001,1,1,1,1,1,1,0.187,0.221,0.231,0.057,0.129,0.184,0.043,0.052,0.143,0.061,0.061,0.107,0.096,0.089,0.123,0.005,0.015,0.002,0.010,0.003,0.009,0.003,0.001,0.006,0.001,0.036,0.114,0.191,0.197,0.267,0.699,0.608,0.575,0.459,0.377,1,1,1,1,1,1,0.129,0.130,0.205,0.202,0.258,0.196,0.189,0.234,0.207,0.140,0.190,0.243,0.124,0.213,0.271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.037,0.037,0.037
6,1,0.264,0.308,1,1,0.039,1,1,1,1,1,1,1,0.039,1,1,0.211,1,1,1,1,1,1,0.067,1,0.351,1,1,1,1,1,0.504,0.493,0.529,0.527,0.549,0.538,0.344,0.469,0.623,0.303,0.340,0.441,0.232,0.260,0.381,0.261,0.324,0.332,0.349,0.319,0.358,0.350,0.380,0.385,0.401,1,1,1,1,1,1,0.110,0.146,0.128,0.054,0.106,0.131,0.073,0.066,0.127,0.136,0.100,0.100,0.169,0.166,0.109,0.277,0.328,0.283,0.321,0.237,0.319,0.211,0.281,0.214,0.236,0.024,0.066,0.101,0.087,0.246,0.299,0.249,0.231,0.179,0.148,1,1,1,1,1,1,0.096,0.091,0.150,0.191,0.238,0.127,0.148,0.192,0.167,0.115,0.150,0.202,0.095,0.165,0.231,0.372,0.363,0.365,0.352,0.357,0.331,0.339,0.325,0.306,0.295,0.065,0.065,0.065
7,1,0.272,0.502,1,1,0.039,1,1,1,1,1,1,1,0.033,1,1,0.391,1,1,1,1,1,1,0.041,1,0.537,1,1,1,1,1,0.366,0.406,0.433,0.314,0.425,0.441,0.227,0.323,0.522,0.177,0.203,0.312,0.139,0.135,0.231,0.442,0.500,0.526,0.570,0.511,0.558,0.553,0.585,0.596,0.623,1,1,1,1,1,1,0.031,0.063,0.055,0.012,0.036,0.053,0.009,0.016,0.060,0.018,0.024,0.044,0.049,0.058,0.049,0.484,0.523,0.429,0.521,0.389,0.528,0.389,0.496,0.389,0.455,0.016,0.061,0.098,0.105,0.257,0.304,0.245,0.227,0.168,0.129,1,1,1,1,1,1,0.049,0.038,0.058,0.105,0.138,0.060,0.109,0.109,0.080,0.048,0.079,0.100,0.026,0.052,0.097,0.595,0.591,0.589,0.584,0.581,0.571,0.562,0.566,0.548,0.539,0.125,0.125,0.125
8,1,0.225,0.604,1,1,0.039,1,1,1,1,1,1,1,0.073,1,1,0.492,1,1,1,1,1,1,0.005,1,0.643,1,1,1,1,1,0.418,0.420,0.410,0.423,0.572,0.455,0.353,0.451,0.607,0.325,0.335,0.382,0.174,0.221,0.287,0.528,0.552,0.642,0.703,0.622,0.724,0.679,0.722,0.711,0.742,1,1,1,1,1,1,0.030,0.056,0.030,0.027,0.055,0.065,0.016,0.026,0.112,0.010,0.012,0.085,0.007,0.007,0.042,0.614,0.630,0.534,0.637,0.497,0.647,0.516,0.630,0.529,0.590,0.034,0.072,0.086,0.072,0.114,0.217,0.162,0.144,0.086,0.052,1,1,1,1,1,1,0.011,0.011,0.015,0.050,0.115,0.038,0.027,0.036,0.043,0.011,0.020,0.028,0.007,0.021,0.030,0.734,0.735,0.731,0.724,0.723,0.726,0.701,0.725,0.708,0.702,0.221,0.221,0.221
9,1,0.226,0.651,1,1,0.039,1,1,1,1,1,1,1,0.066,1,1,0.559,1,1,1,1,1,1,0.001,1,0.664,1,1,1,1,1,0.256,0.286,0.314,0.307,0.621,0.546,0.290,0.396,0.649,0.278,0.298,0.380,0.145,0.199,0.248,0.564,0.571,0.663,0.708,0.676,0.769,0.718,0.764,0.751,0.772,1,1,1,1,1,1,0.036,0.039,0.021,0.022,0.039,0.045,0.010,0.029,0.081,0.005,0.011,0.071,0.009,0.009,0.039,0.626,0.662,0.559,0.675,0.579,0.683,0.619,0.682,0.607,0.657,0.014,0.031,0.030,0.011,0.024,0.105,0.067,0.055,0.021,0.006,1,1,1,1,1,1,0.003,0.009,0.016,0.017,0.070,0.025,0.011,0.017,0.020,0.010,0.013,0.015,0.020,0.044,0.062,0.769,0.779,0.768,0.776,0.757,0.775,0.736,0.775,0.770,0.776,0.307,0.307,0.307
10,1,0.194,0.686,1,1,0.039,1,1,1,1,1,1,1,0.082,1,1,0.594,1,1,1,1,1,1,0.001,1,0.631,1,1,1,1,1,0.152,0.205,0.231,0.265,0.616,0.527,0.245,0.332,0.591,0.236,0.233,0.311,0.160,0.206,0.248,0.596,0.638,0.689,0.727,0.688,0.770,0.736,0.775,0.762,0.785,1,1,1,1,1,1,0.037,0.038,0.034,0.010,0.049,0.068,0.005,0.022,0.093,0.010,0.035,0.097,0.054,0.067,0.094,0.638,0.670,0.607,0.671,0.629,0.688,0.641,0.705,0.637,0.697,0.000,0.000,0.000,0.007,0.027,0.000,0.000,0.000,0.000,0.000,1,1,1,1,1,1,0.023,0.022,0.020,0.034,0.087,0.029,0.018,0.033,0.031,0.020,0.026,0.034,0.015,0.034,0.068,0.794,0.803,0.783,0.801,0.760,0.796,0.742,0.784,0.781,0.788,0.400,0.400,0.400
