Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
9000.0,1.0,1.0,1.0,9000.0,4.0,120.0,4200.0,1,350.0,39067.0,1770.0
,2.0,0.067,0.075,603.0,,,1320.0,2,345.0,38487.0,1744.0
,,,,,,,3120.0,3,345.0,38554.0,1747.0
,,,,,,,120.0,4,348.0,38926.0,1764.0
,,,,,,,,5,355.0,39607.0,1795.0
,,,,,,,,6,383.0,42767.0,1938.0
,,,,,,,,7,424.0,47320.0,2144.0
,,,,,,,,8,467.0,52175.0,2364.0
,,,,,,,,9,501.0,55980.0,2536.0
,,,,,,,,10,533.0,59460.0,2694.0
,,,,,,,,11,553.0,61784.0,2799.0
,,,,,,,,12,562.0,62697.0,2841.0
,,,,,,,,13,571.0,63778.0,2890.0
,,,,,,,,14,581.0,64823.0,2937.0
,,,,,,,,15,582.0,64967.0,2943.0
,,,,,,,,16,563.0,62903.0,2850.0
,,,,,,,,17,546.0,60985.0,2763.0
,,,,,,,,18,527.0,58843.0,2666.0
,,,,,,,,19,509.0,56882.0,2577.0
,,,,,,,,20,475.0,53062.0,2404.0
,,,,,,,,21,438.0,48887.0,2215.0
,,,,,,,,22,401.0,44831.0,2031.0
,,,,,,,,23,375.0,41880.0,1898.0
,,,,,,,,24,355.0,39643.0,1796.0
,,,,,,,,25,343.0,38335.0,1737.0
,,,,,,,,26,337.0,37609.0,1704.0
,,,,,,,,27,334.0,37318.0,1691.0
,,,,,,,,28,334.0,37257.0,1688.0
,,,,,,,,29,337.0,37677.0,1707.0
,,,,,,,,30,365.0,40765.0,1847.0
,,,,,,,,31,402.0,44845.0,2032.0
,,,,,,,,32,440.0,49180.0,2228.0
,,,,,,,,33,470.0,52447.0,2376.0
,,,,,,,,34,497.0,55440.0,2512.0
,,,,,,,,35,519.0,57937.0,2625.0
,,,,,,,,36,534.0,59584.0,2700.0
,,,,,,,,37,541.0,60352.0,2734.0
,,,,,,,,38,542.0,60517.0,2742.0
,,,,,,,,39,536.0,59827.0,2711.0
,,,,,,,,40,514.0,57373.0,2599.0
,,,,,,,,41,503.0,56107.0,2542.0
,,,,,,,,42,494.0,55182.0,2500.0
,,,,,,,,43,484.0,54018.0,2447.0
,,,,,,,,44,453.0,50587.0,2292.0
,,,,,,,,45,414.0,46253.0,2096.0
,,,,,,,,46,381.0,42570.0,1929.0
,,,,,,,,47,355.0,39688.0,1798.0
,,,,,,,,48,343.0,38358.0,1738.0
,,,,,,,,49,337.0,37677.0,1707.0
,,,,,,,,50,341.0,38078.0,1725.0
,,,,,,,,51,355.0,39602.0,1794.0
,,,,,,,,52,375.0,41860.0,1897.0
,,,,,,,,53,393.0,43839.0,1986.0
,,,,,,,,54,424.0,47387.0,2147.0
,,,,,,,,55,457.0,51032.0,2312.0
,,,,,,,,56,491.0,54864.0,2486.0
,,,,,,,,57,524.0,58494.0,2650.0
,,,,,,,,58,556.0,62034.0,2811.0
,,,,,,,,59,583.0,65043.0,2947.0
,,,,,,,,60,600.0,66998.0,3035.0
,,,,,,,,61,612.0,68318.0,3095.0
,,,,,,,,62,616.0,68777.0,3116.0
,,,,,,,,63,614.0,68590.0,3108.0
,,,,,,,,64,603.0,67265.0,3048.0
,,,,,,,,65,570.0,63596.0,2881.0
,,,,,,,,66,535.0,59750.0,2707.0
,,,,,,,,67,519.0,57985.0,2627.0
,,,,,,,,68,482.0,53843.0,2440.0
,,,,,,,,69,439.0,49001.0,2220.0
,,,,,,,,70,405.0,45190.0,2048.0
,,,,,,,,71,383.0,42805.0,1940.0
,,,,,,,,72,370.0,41339.0,1873.0
,,,,,,,,73,361.0,40362.0,1829.0
,,,,,,,,74,363.0,40557.0,1838.0
,,,,,,,,75,375.0,41892.0,1898.0
,,,,,,,,76,395.0,44118.0,1999.0
,,,,,,,,77,411.0,45929.0,2081.0
,,,,,,,,78,442.0,49401.0,2238.0
,,,,,,,,79,475.0,53061.0,2404.0
,,,,,,,,80,507.0,56654.0,2567.0
,,,,,,,,81,537.0,59998.0,2718.0
,,,,,,,,82,569.0,63470.0,2876.0
,,,,,,,,83,591.0,66031.0,2992.0
,,,,,,,,84,603.0,67345.0,3051.0
,,,,,,,,85,609.0,68016.0,3082.0
,,,,,,,,86,614.0,68587.0,3107.0
,,,,,,,,87,618.0,69024.0,3127.0
,,,,,,,,88,611.0,68192.0,3089.0
,,,,,,,,89,582.0,64932.0,2942.0
,,,,,,,,90,550.0,61363.0,2780.0
,,,,,,,,91,534.0,59618.0,2701.0
,,,,,,,,92,496.0,55379.0,2509.0
,,,,,,,,93,453.0,50539.0,2290.0
,,,,,,,,94,418.0,46656.0,2114.0
,,,,,,,,95,394.0,43961.0,1992.0
,,,,,,,,96,378.0,42199.0,1912.0
,,,,,,,,97,368.0,41149.0,1865.0
,,,,,,,,98,369.0,41222.0,1868.0
,,,,,,,,99,381.0,42505.0,1926.0
,,,,,,,,100,400.0,44683.0,2025.0
,,,,,,,,101,417.0,46560.0,2110.0
,,,,,,,,102,450.0,50267.0,2278.0
,,,,,,,,103,486.0,54246.0,2458.0
,,,,,,,,104,520.0,58052.0,2630.0
,,,,,,,,105,551.0,61569.0,2789.0
,,,,,,,,106,584.0,65142.0,2951.0
,,,,,,,,107,607.0,67810.0,3072.0
,,,,,,,,108,622.0,69474.0,3148.0
,,,,,,,,109,631.0,70453.0,3192.0
,,,,,,,,110,637.0,71071.0,3221.0
,,,,,,,,111,637.0,71095.0,3222.0
,,,,,,,,112,628.0,70094.0,3176.0
,,,,,,,,113,599.0,66924.0,3032.0
,,,,,,,,114,563.0,62888.0,2849.0
,,,,,,,,115,545.0,60871.0,2758.0
,,,,,,,,116,507.0,56631.0,2566.0
,,,,,,,,117,463.0,51717.0,2343.0
,,,,,,,,118,428.0,47829.0,2167.0
,,,,,,,,119,403.0,45054.0,2041.0
,,,,,,,,120,387.0,43168.0,1956.0
,,,,,,,,121,299.0,33414.0,1514.0
,,,,,,,,122,301.0,33672.0,1526.0
,,,,,,,,123,311.0,34769.0,1576.0
,,,,,,,,124,339.0,37913.0,1718.0
,,,,,,,,125,382.0,42674.0,1934.0
,,,,,,,,126,396.0,44247.0,2005.0
,,,,,,,,127,392.0,43775.0,1983.0
,,,,,,,,128,387.0,43210.0,1958.0
,,,,,,,,129,383.0,42784.0,1939.0
,,,,,,,,130,380.0,42395.0,1921.0
,,,,,,,,131,376.0,41954.0,1901.0
,,,,,,,,132,375.0,41853.0,1896.0
,,,,,,,,133,374.0,41793.0,1894.0
,,,,,,,,134,378.0,42218.0,1913.0
,,,,,,,,135,387.0,43209.0,1958.0
,,,,,,,,136,406.0,45309.0,2053.0
,,,,,,,,137,411.0,45894.0,2079.0
,,,,,,,,138,390.0,43546.0,1973.0
,,,,,,,,139,379.0,42377.0,1920.0
,,,,,,,,140,366.0,40916.0,1854.0
,,,,,,,,141,349.0,38989.0,1767.0
,,,,,,,,142,331.0,37003.0,1677.0
,,,,,,,,143,321.0,35884.0,1626.0
,,,,,,,,144,312.0,34851.0,1579.0
,,,,,,,,145,309.0,34541.0,1565.0
,,,,,,,,146,311.0,34707.0,1573.0
,,,,,,,,147,315.0,35242.0,1597.0
,,,,,,,,148,329.0,36787.0,1667.0
,,,,,,,,149,348.0,38863.0,1761.0
,,,,,,,,150,363.0,40496.0,1835.0
,,,,,,,,151,372.0,41497.0,1880.0
,,,,,,,,152,373.0,41700.0,1889.0
,,,,,,,,153,370.0,41352.0,1874.0
,,,,,,,,154,367.0,40965.0,1856.0
,,,,,,,,155,364.0,40699.0,1844.0
,,,,,,,,156,360.0,40176.0,1820.0
,,,,,,,,157,355.0,39676.0,1798.0
