Period_Index,Rep_Period_Index,Month,Rep_Period
1,3,1,15
2,3,1,15
3,3,1,15
4,3,1,15
5,3,1,15
6,3,1,15
7,3,2,15
8,2,2,65
9,3,2,15
10,3,2,15
11,3,2,15
12,3,3,15
13,3,3,15
14,3,3,15
15,3,3,15
16,3,3,15
17,1,3,40
18,1,3,40
19,1,4,40
20,1,4,40
21,3,4,15
22,1,4,40
23,1,4,40
24,3,4,15
25,1,5,40
26,1,5,40
27,2,5,65
28,1,5,40
29,3,5,15
30,1,5,40
31,1,6,40
32,1,6,40
33,1,6,40
34,1,6,40
35,1,6,40
36,4,6,36
37,1,7,40
38,1,7,40
39,2,7,65
40,1,7,40
41,1,7,40
42,1,7,40
43,1,8,40
44,1,8,40
45,1,8,40
46,1,8,40
47,1,8,40
48,1,8,40
49,1,9,40
50,1,9,40
51,1,9,40
52,2,9,65
53,1,9,40
54,1,9,40
55,2,10,65
56,1,10,40
57,1,10,40
58,1,10,40
59,3,10,15
60,3,10,15
61,1,11,40
62,2,11,65
63,3,11,15
64,2,11,65
65,2,11,65
66,2,11,65
67,2,12,65
68,2,12,65
69,3,12,15
70,3,12,15
71,3,12,15
72,3,12,15
73,3,12,15
