region,Resource,technology,cluster,R_ID,Zone,CapRes,THERM,VRE,MUST_RUN,STOR,FLEX,HEAT,NACC,TRADER,HYDRO,LDS,ESR_1,MGA,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Externality_cost_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Ratio_power_to_energy,Min_Duration,Max_Duration,Flexible_Demand_Energy_Eff,Max_DSM_delay,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,NACC_Eff,NACC_Peak_to_Base,Num_VRE_Bins,regional_cost_multiplier,lcoe,wacc_real,cap_recovery_years,Hydro_level,Existing_Charge_Cap_MW,unit_id_pudl,CF,plant_id_eia,fixed_o_m_mw_std,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,CO2_Capture_Cost_per_Metric_Ton,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,Reg_Cost,Rsv_Cost,Commit
ERC_PHDL,ERC_PHDL_batteries_1,Batteries,1,1,1,0.0,0,0,0,1,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,1600.0,200.0,1.0,200.0,-1,200.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,6235,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,None,0.0,0.0,0.92,0.92,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ERC_PHDL,ERC_PHDL_onshore_wind_turbine_1,Onshore Wind Turbine,1,2,1,0.0,0,1,0,0,0,0.0,0.0,0.0,0,0,0.0,1,0.0,0.0,0.0,4874.3,29.0,4874.291,0,168.08,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,43000,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,"[55579, 56648, 56673, 56773, 58242, 58363, 58404, 58596, 58681, 58720, 58765, 58772, 58773, 58774, 58775, 59005, 59068, 59243, 59384, 59621, 59734, 59971, 60087, 60210, 60366, 60414, 60856, 61589, 61589]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ERC_PHDL,ERC_PHDL_solar_photovoltaic_1,Solar Photovoltaic,1,3,1,0.0,0,1,0,0,0,0.0,0.0,0.0,0,0,0.0,1,0.0,0.0,0.0,1015.0,2.0,1015.0,0,507.5,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,22623,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,"[65310, 65463]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ERC_REST,ERC_REST_batteries_1,Batteries,1,4,2,0.0,0,0,0,1,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,13006.9,2666.9,47.0,2666.921,-1,56.74,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,6235,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,None,0.0,0.0,0.92,0.92,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,"[8063, 59118, 60649, 61741, 62609, 62753, 63737, 63757, 63892, 64089, 64202, 64293, 64295, 64296, 64297, 64298, 64312, 64314, 64315, 64316, 64317, 64318, 64318, 64319, 64321, 64322, 64322, 64425, 64528, 64672, 65028, 65259, 65271, 65410, 65493, 65694, 65695, 65699, 65700, 65701, 65809, 65829, 65830, 65837, 66137, 66420, 66616]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ERC_REST,ERC_REST_biomass_1,Biomass,1,5,2,0.0,0,0,1,0,0,0.0,0.0,0.0,0,0,0.0,1,0.0,0.0,0.0,29.4,24.0,150.096,-1,1.23,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,150850,0.0,0,0,6.04,0.0,0.0,0.0,0.0,0.0,0.0,14.05,2.157,1.125,None,0.606,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,"[54338, 55708, 56524, 56524, 56524, 56864, 56864, 56864, 56864, 56864, 56864, 57020, 57020, 57165, 57165, 57167, 57167, 58946, 58946, 58946, 59649, 59649, 59649, 59649]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ERC_REST,ERC_REST_conventional_hydroelectric_1,Conventional Hydroelectric,1,6,2,0.0,0,0,0,0,0,0.0,0.0,0.0,1,1,0.0,0,0.0,0.0,0.0,483.0,22.0,483.01,-1,21.96,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,49259,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,None,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,"[3582, 3582, 3584, 3595, 3595, 3595, 3597, 3597, 3599, 3599, 3600, 3600, 3600, 6128, 6128, 6410, 6410, 6410, 6414, 6414, 6416, 6416]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ERC_REST,ERC_REST_conventional_steam_coal_1,Conventional Steam Coal,1,7,2,0.0,1,0,0,0,0,0.0,0.0,0.0,0,0,0.0,1,0.0,0.0,0.0,12290.6,20.0,12290.6,0,614.53,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,65619,0.0,0,0,1.97,0.0,0.0,0.0,0.0,130.0,16.5,10.67,1.189,0.892,east_south_central_coal,0.315,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,24,24,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,"[3470, 3470, 3470, 3470, 6139, 6139, 6146, 6146, 6146, 6179, 6179, 6179, 6180, 6180, 6183, 7030, 7030, 7097, 7097, 56611]",6352.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ERC_REST,ERC_REST_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,1,8,2,0.0,1,0,0,0,0,0.0,0.0,0.0,0,0,0.0,1,0.0,0.0,0.0,31954.6,60.0,31954.62,0,532.58,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,11369,0.0,0,0,3.76,0.0,0.0,0.0,0.0,96.0,2.0,7.91,1.375,1.302,east_south_central_naturalgas,0.464,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,"[3441, 3469, 3469, 4937, 4939, 7512, 10554, 10554, 10554, 10554, 50815, 55047, 55047, 55062, 55062, 55062, 55062, 55091, 55091, 55091, 55091, 55091, 55091, 55097, 55097, 55123, 55132, 55132, 55132, 55132, 55137, 55139, 55144, 55153, 55154, 55168, 55172, 55172, 55187, 55226, 55226, 55230, 55230, 55299, 55320, 55327, 55357, 55464, 55470, 55470, 55480, 55545, 56350, 56350, 56806, 58001, 58001, 58005, 59812, 60122]",1266.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ERC_REST,ERC_REST_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2,9,2,0.0,1,0,0,0,0,0.0,0.0,0.0,0,0,0.0,1,0.0,0.0,0.0,6402.8,26.0,6402.812,0,246.26,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,16598,0.0,0,0,4.61,0.0,0.0,0.0,0.0,96.0,2.0,12.13,4.396,4.596,east_south_central_naturalgas,0.432,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,"[3443, 3559, 3631, 7900, 50043, 50109, 50118, 52088, 52120, 52120, 52120, 52120, 52120, 52132, 52132, 52132, 54676, 54817, 55086, 55206, 55223, 55313, 55480, 56152, 58151, 58151]",854.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ERC_REST,ERC_REST_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,1,10,2,0.0,1,0,0,0,0,0.0,0.0,0.0,0,0,0.0,1,0.0,0.0,0.0,6272.3,124.0,6272.292,0,50.58,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,11694,0.0,0,0,5.53,0.0,0.0,0.0,0.0,125.0,3.5,9.87,0.168,0.662,east_south_central_naturalgas,0.331,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,"[3439, 3439, 3559, 3576, 3609, 3609, 3609, 3609, 3612, 3612, 3612, 3612, 6243, 6243, 7900, 7900, 7900, 7900, 7900, 7900, 10154, 10154, 10154, 10243, 10261, 10261, 10261, 10261, 10261, 10261, 10692, 10692, 10692, 10692, 10692, 50026, 50054, 50054, 50137, 50150, 50150, 50150, 50150, 50304, 50304, 52120, 54330, 54520, 54520, 55153, 55153, 55311, 56350, 56350, 56374, 56674, 56674, 56674, 56674, 57504, 59145, 59381, 60459, 60459, 60460, 60460, 61241, 61241, 61242, 61242, 61966, 61966, 62548, 62548, 62762, 62762, 63335, 63335, 63335, 63335, 63335, 63335, 63335, 63335, 63688, 63688, 63688, 63688, 63688, 63688, 63688, 63688, 63688, 63688, 64383, 64383, 64383, 64383, 64383, 64383, 64383, 64383, 65372, 65372, 65372, 65372, 65372, 65372, 65373, 65373, 65373, 65373, 65373, 65373, 66601, 66601, 66604, 66604, 66604, 66604, 66604, 66604, 66604, 66604]",1803.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
