Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
9000.0,1.0,1.0,1.0,9000.0,1.0,8760.0,1.0,1,291,32482,1472
,2.0,0.067,0.075,603.0,,,,2,287,32028,1451
,,,,,,,,3,286,31931,1447
,,,,,,,,4,291,32502,1473
,,,,,,,,5,300,33554,1520
,,,,,,,,6,308,34385,1558
,,,,,,,,7,318,35519,1609
,,,,,,,,8,330,36875,1671
,,,,,,,,9,337,37578,1703
,,,,,,,,10,341,38040,1723
,,,,,,,,11,344,38410,1740
,,,,,,,,12,340,37990,1721
,,,,,,,,13,337,37609,1704
,,,,,,,,14,336,37517,1700
,,,,,,,,15,340,37936,1719
,,,,,,,,16,357,39901,1808
,,,,,,,,17,395,44137,2000
,,,,,,,,18,401,44730,2027
,,,,,,,,19,396,44247,2005
,,,,,,,,20,389,43424,1967
,,,,,,,,21,373,41647,1887
,,,,,,,,22,352,39337,1782
,,,,,,,,23,331,36904,1672
,,,,,,,,24,324,36198,1640
,,,,,,,,25,323,36110,1636
,,,,,,,,26,327,36550,1656
,,,,,,,,27,337,37601,1704
,,,,,,,,28,358,39969,1811
,,,,,,,,29,387,43234,1959
,,,,,,,,30,407,45422,2058
,,,,,,,,31,412,45950,2082
,,,,,,,,32,412,46021,2085
,,,,,,,,33,409,45691,2070
,,,,,,,,34,403,44974,2038
,,,,,,,,35,395,44086,1997
,,,,,,,,36,383,42809,1940
,,,,,,,,37,376,41933,1900
,,,,,,,,38,378,42167,1911
,,,,,,,,39,390,43526,1972
,,,,,,,,40,424,47283,2142
,,,,,,,,41,453,50541,2290
,,,,,,,,42,444,49524,2244
,,,,,,,,43,439,48994,2220
,,,,,,,,44,429,47866,2169
,,,,,,,,45,407,45385,2056
,,,,,,,,46,386,43047,1950
,,,,,,,,47,372,41518,1881
,,,,,,,,48,368,41054,1860
,,,,,,,,49,369,41218,1867
,,,,,,,,50,376,42013,1904
,,,,,,,,51,392,43704,1980
,,,,,,,,52,427,47690,2161
,,,,,,,,53,479,53462,2422
,,,,,,,,54,498,55611,2520
,,,,,,,,55,483,53871,2441
,,,,,,,,56,461,51432,2330
,,,,,,,,57,441,49213,2230
,,,,,,,,58,426,47568,2155
,,,,,,,,59,413,46156,2091
,,,,,,,,60,402,44895,2034
,,,,,,,,61,395,44051,1996
,,,,,,,,62,397,44333,2009
,,,,,,,,63,409,45668,2069
,,,,,,,,64,441,49241,2231
,,,,,,,,65,469,52292,2369
,,,,,,,,66,456,50898,2306
,,,,,,,,67,448,49961,2264
,,,,,,,,68,431,48156,2182
,,,,,,,,69,402,44837,2032
,,,,,,,,70,373,41676,1888
,,,,,,,,71,356,39703,1799
,,,,,,,,72,348,38835,1760
,,,,,,,,73,345,38544,1746
,,,,,,,,74,348,38837,1760
,,,,,,,,75,359,40097,1817
,,,,,,,,76,390,43534,1972
,,,,,,,,77,437,48792,2211
,,,,,,,,78,453,50560,2291
,,,,,,,,79,438,48843,2213
,,,,,,,,80,422,47072,2133
,,,,,,,,81,407,45470,2060
,,,,,,,,82,397,44341,2009
,,,,,,,,83,390,43524,1972
,,,,,,,,84,384,42845,1941
,,,,,,,,85,380,42450,1923
,,,,,,,,86,383,42764,1938
,,,,,,,,87,393,43858,1987
,,,,,,,,88,416,46460,2105
,,,,,,,,89,436,48654,2204
,,,,,,,,90,422,47071,2133
,,,,,,,,91,412,46005,2084
,,,,,,,,92,397,44346,2009
,,,,,,,,93,371,41453,1878
,,,,,,,,94,345,38552,1747
,,,,,,,,95,329,36737,1664
,,,,,,,,96,323,36028,1632
,,,,,,,,97,321,35822,1623
,,,,,,,,98,324,36184,1639
,,,,,,,,99,335,37452,1697
,,,,,,,,100,367,40954,1856
,,,,,,,,101,415,46305,2098
,,,,,,,,102,433,48361,2191
,,,,,,,,103,421,46938,2127
,,,,,,,,104,408,45559,2064
,,,,,,,,105,398,44381,2011
,,,,,,,,106,391,43629,1977
,,,,,,,,107,385,43014,1949
,,,,,,,,108,381,42512,1926
,,,,,,,,109,378,42179,1911
,,,,,,,,110,381,42568,1929
,,,,,,,,111,389,43448,1969
,,,,,,,,112,410,45711,2071
,,,,,,,,113,427,47640,2159
,,,,,,,,114,412,46012,2085
,,,,,,,,115,402,44895,2034
,,,,,,,,116,385,42994,1948
,,,,,,,,117,358,40012,1813
,,,,,,,,118,332,37123,1682
,,,,,,,,119,315,35130,1592
,,,,,,,,120,305,34012,1541
,,,,,,,,121,300,33519,1519
,,,,,,,,122,301,33646,1524
,,,,,,,,123,309,34466,1562
,,,,,,,,124,334,37265,1688
,,,,,,,,125,376,41963,1901
,,,,,,,,126,395,44074,1997
,,,,,,,,127,386,43128,1954
,,,,,,,,128,382,42613,1931
,,,,,,,,129,379,42356,1919
,,,,,,,,130,378,42149,1910
,,,,,,,,131,376,41967,1901
,,,,,,,,132,375,41888,1898
,,,,,,,,133,374,41772,1893
,,,,,,,,134,378,42244,1914
,,,,,,,,135,385,42981,1947
,,,,,,,,136,397,44286,2007
,,,,,,,,137,406,45340,2054
,,,,,,,,138,387,43151,1955
,,,,,,,,139,372,41560,1883
,,,,,,,,140,359,40066,1815
,,,,,,,,141,341,38027,1723
,,,,,,,,142,319,35622,1614
,,,,,,,,143,303,33840,1533
,,,,,,,,144,290,32355,1466
,,,,,,,,145,283,31612,1432
,,,,,,,,146,281,31407,1423
,,,,,,,,147,284,31722,1437
,,,,,,,,148,295,32900,1491
,,,,,,,,149,311,34771,1575
,,,,,,,,150,326,36428,1650
,,,,,,,,151,341,38094,1726
,,,,,,,,152,358,39985,1812
,,,,,,,,153,368,41038,1859
,,,,,,,,154,372,41584,1884
,,,,,,,,155,374,41769,1892
,,,,,,,,156,369,41231,1868
,,,,,,,,157,368,41055,1860
,,,,,,,,158,368,41061,1860
,,,,,,,,159,370,41263,1870
,,,,,,,,160,377,42085,1907
,,,,,,,,161,403,44951,2037
,,,,,,,,162,401,44789,2029
,,,,,,,,163,391,43618,1976
,,,,,,,,164,376,42010,1903
,,,,,,,,165,357,39863,1806
,,,,,,,,166,335,37361,1693
,,,,,,,,167,313,35002,1586
,,,,,,,,168,301,33604,1522
,,,,,,,,169,296,33030,1496
,,,,,,,,170,294,32863,1489
,,,,,,,,171,295,32983,1494
,,,,,,,,172,303,33821,1532
,,,,,,,,173,315,35211,1595
,,,,,,,,174,327,36557,1656
,,,,,,,,175,340,37969,1720
,,,,,,,,176,355,39608,1795
,,,,,,,,177,361,40358,1829
,,,,,,,,178,366,40832,1850
,,,,,,,,179,371,41466,1879
,,,,,,,,180,370,41345,1873
,,,,,,,,181,369,41184,1866
,,,,,,,,182,370,41322,1872
,,,,,,,,183,375,41885,1898
,,,,,,,,184,390,43524,1972
,,,,,,,,185,416,46445,2104
,,,,,,,,186,417,46516,2108
,,,,,,,,187,406,45265,2051
,,,,,,,,188,387,43198,1957
,,,,,,,,189,361,40289,1825
,,,,,,,,190,331,36993,1676
,,,,,,,,191,306,34137,1547
,,,,,,,,192,296,33078,1499
,,,,,,,,193,294,32802,1486
,,,,,,,,194,295,32995,1495
,,,,,,,,195,305,34072,1544
,,,,,,,,196,333,37174,1684
,,,,,,,,197,379,42355,1919
,,,,,,,,198,402,44861,2033
,,,,,,,,199,403,44945,2036
,,,,,,,,200,409,45643,2068
,,,,,,,,201,415,46349,2100
,,,,,,,,202,421,46997,2129
,,,,,,,,203,424,47316,2144
,,,,,,,,204,424,47368,2146
,,,,,,,,205,422,47128,2135
,,,,,,,,206,426,47548,2154
,,,,,,,,207,438,48871,2214
,,,,,,,,208,462,51552,2336
,,,,,,,,209,471,52581,2382
,,,,,,,,210,451,50380,2283
,,,,,,,,211,436,48668,2205
,,,,,,,,212,416,46387,2102
,,,,,,,,213,385,42973,1947
,,,,,,,,214,358,40017,1813
,,,,,,,,215,341,38018,1723
,,,,,,,,216,331,36922,1673
,,,,,,,,217,328,36598,1658
,,,,,,,,218,330,36800,1667
,,,,,,,,219,340,38010,1722
,,,,,,,,220,371,41372,1875
,,,,,,,,221,421,46996,2129
,,,,,,,,222,445,49674,2251
,,,,,,,,223,438,48926,2217
,,,,,,,,224,436,48710,2207
,,,,,,,,225,435,48557,2200
,,,,,,,,226,434,48453,2195
,,,,,,,,227,430,48016,2176
,,,,,,,,228,427,47609,2157
,,,,,,,,229,424,47354,2146
,,,,,,,,230,429,47937,2172
,,,,,,,,231,440,49127,2226
,,,,,,,,232,463,51677,2341
,,,,,,,,233,480,53551,2426
,,,,,,,,234,463,51670,2341
,,,,,,,,235,450,50275,2278
,,,,,,,,236,430,48033,2176
,,,,,,,,237,400,44602,2021
,,,,,,,,238,372,41556,1883
,,,,,,,,239,354,39558,1792
,,,,,,,,240,347,38763,1756
,,,,,,,,241,346,38654,1751
,,,,,,,,242,351,39194,1776
,,,,,,,,243,363,40571,1838
,,,,,,,,244,397,44286,2007
,,,,,,,,245,448,49997,2265
,,,,,,,,246,467,52088,2360
,,,,,,,,247,446,49811,2257
,,,,,,,,248,425,47414,2148
,,,,,,,,249,408,45589,2066
,,,,,,,,250,398,44409,2012
,,,,,,,,251,388,43366,1965
,,,,,,,,252,382,42676,1934
,,,,,,,,253,379,42305,1917
,,,,,,,,254,383,42811,1940
,,,,,,,,255,394,43944,1991
,,,,,,,,256,413,46050,2086
,,,,,,,,257,432,48263,2187
,,,,,,,,258,420,46843,2122
,,,,,,,,259,413,46114,2089
,,,,,,,,260,400,44621,2022
,,,,,,,,261,376,41971,1902
,,,,,,,,262,352,39267,1779
,,,,,,,,263,338,37753,1710
,,,,,,,,264,337,37589,1703
,,,,,,,,265,340,37927,1718
,,,,,,,,266,349,38955,1765
,,,,,,,,267,367,40929,1854
,,,,,,,,268,406,45347,2055
,,,,,,,,269,464,51769,2346
,,,,,,,,270,488,54470,2468
,,,,,,,,271,478,53362,2418
,,,,,,,,272,475,52971,2400
,,,,,,,,273,470,52510,2379
,,,,,,,,274,465,51869,2350
,,,,,,,,275,459,51240,2322
,,,,,,,,276,452,50451,2286
,,,,,,,,277,448,50002,2266
,,,,,,,,278,456,50861,2305
,,,,,,,,279,475,52977,2400
,,,,,,,,280,509,56803,2574
,,,,,,,,281,535,59733,2707
,,,,,,,,282,521,58185,2636
,,,,,,,,283,514,57364,2599
,,,,,,,,284,498,55556,2517
,,,,,,,,285,470,52404,2374
,,,,,,,,286,443,49451,2241
,,,,,,,,287,426,47527,2153
,,,,,,,,288,419,46787,2120
,,,,,,,,289,417,46502,2107
,,,,,,,,290,419,46803,2121
,,,,,,,,291,430,48007,2175
,,,,,,,,292,462,51546,2336
,,,,,,,,293,512,57160,2590
,,,,,,,,294,527,58835,2666
,,,,,,,,295,508,56682,2568
,,,,,,,,296,484,54033,2448
,,,,,,,,297,460,51321,2325
,,,,,,,,298,438,48914,2216
,,,,,,,,299,422,47076,2133
,,,,,,,,300,408,45519,2062
,,,,,,,,301,396,44218,2003
,,,,,,,,302,395,44096,1998
,,,,,,,,303,404,45108,2044
,,,,,,,,304,428,47742,2163
,,,,,,,,305,454,50722,2298
,,,,,,,,306,445,49660,2250
,,,,,,,,307,442,49329,2235
,,,,,,,,308,436,48616,2203
,,,,,,,,309,420,46850,2123
,,,,,,,,310,402,44897,2034
,,,,,,,,311,392,43735,1982
,,,,,,,,312,384,42827,1940
,,,,,,,,313,382,42693,1934
,,,,,,,,314,385,42977,1947
,,,,,,,,315,393,43839,1986
,,,,,,,,316,408,45521,2063
,,,,,,,,317,429,47934,2172
,,,,,,,,318,446,49799,2256
,,,,,,,,319,449,50064,2268
,,,,,,,,320,438,48909,2216
,,,,,,,,321,420,46906,2125
,,,,,,,,322,404,45135,2045
,,,,,,,,323,389,43429,1968
,,,,,,,,324,374,41712,1890
,,,,,,,,325,364,40617,1840
,,,,,,,,326,359,40118,1818
,,,,,,,,327,361,40254,1824
,,,,,,,,328,370,41354,1874
,,,,,,,,329,407,45382,2056
,,,,,,,,330,411,45896,2080
,,,,,,,,331,409,45629,2067
,,,,,,,,332,402,44837,2032
,,,,,,,,333,387,43184,1957
,,,,,,,,334,368,41051,1860
,,,,,,,,335,350,39103,1772
,,,,,,,,336,342,38217,1731
,,,,,,,,337,342,38194,1730
,,,,,,,,338,345,38493,1744
,,,,,,,,339,350,39073,1770
,,,,,,,,340,362,40451,1833
,,,,,,,,341,379,42263,1915
,,,,,,,,342,392,43797,1984
,,,,,,,,343,400,44659,2023
,,,,,,,,344,397,44284,2006
,,,,,,,,345,385,42975,1947
,,,,,,,,346,375,41890,1898
,,,,,,,,347,371,41373,1875
,,,,,,,,348,364,40585,1839
,,,,,,,,349,358,40006,1813
,,,,,,,,350,358,39948,1810
,,,,,,,,351,361,40311,1826
,,,,,,,,352,374,41728,1891
,,,,,,,,353,403,44948,2037
,,,,,,,,354,402,44839,2032
,,,,,,,,355,389,43474,1970
,,,,,,,,356,373,41636,1886
,,,,,,,,357,349,38919,1763
,,,,,,,,358,320,35768,1621
,,,,,,,,359,294,32886,1490
,,,,,,,,360,283,31586,1431
,,,,,,,,361,278,31004,1405
,,,,,,,,362,277,30922,1401
,,,,,,,,363,282,31477,1426
,,,,,,,,364,299,33432,1515
,,,,,,,,365,326,36391,1649
,,,,,,,,366,344,38416,1741
,,,,,,,,367,353,39364,1783
,,,,,,,,368,366,40839,1850
,,,,,,,,369,376,42028,1904
,,,,,,,,370,382,42606,1930
,,,,,,,,371,383,42805,1939
,,,,,,,,372,383,42723,1936
,,,,,,,,373,381,42582,1929
,,,,,,,,374,385,42997,1948
,,,,,,,,375,392,43794,1984
,,,,,,,,376,409,45633,2068
,,,,,,,,377,423,47175,2137
,,,,,,,,378,406,45338,2054
,,,,,,,,379,392,43731,1981
,,,,,,,,380,374,41740,1891
,,,,,,,,381,345,38525,1745
,,,,,,,,382,316,35278,1598
,,,,,,,,383,294,32796,1486
,,,,,,,,384,282,31490,1427
,,,,,,,,385,276,30817,1396
,,,,,,,,386,275,30743,1393
,,,,,,,,387,281,31343,1420
,,,,,,,,388,304,33998,1540
,,,,,,,,389,347,38751,1756
,,,,,,,,390,370,41304,1871
,,,,,,,,391,369,41200,1867
,,,,,,,,392,375,41868,1897
,,,,,,,,393,381,42490,1925
,,,,,,,,394,385,42929,1945
,,,,,,,,395,386,43077,1952
,,,,,,,,396,386,43069,1951
,,,,,,,,397,383,42761,1937
,,,,,,,,398,387,43188,1957
,,,,,,,,399,396,44194,2002
,,,,,,,,400,413,46093,2088
,,,,,,,,401,434,48427,2194
,,,,,,,,402,423,47162,2137
,,,,,,,,403,413,46091,2088
,,,,,,,,404,398,44430,2013
,,,,,,,,405,374,41706,1890
,,,,,,,,406,352,39248,1778
,,,,,,,,407,341,38045,1724
,,,,,,,,408,336,37501,1699
,,,,,,,,409,336,37516,1700
,,,,,,,,410,342,38183,1730
,,,,,,,,411,356,39742,1801
,,,,,,,,412,392,43779,1984
,,,,,,,,413,449,50130,2271
