cpa_id,cluster
34681,1
34686,1
35204,1
35205,1
37102,1
37119,1
37140,1
37141,1
37160,1
37182,1
37849,1
37854,1
38014,1
38018,1
38022,1
38032,1
38049,1
38050,1
38051,1
38052,1
38054,1
38055,1
38058,1
38059,1
38060,1
38062,1
38063,1
38064,1
38066,1
38069,1
38070,1
38071,1
38072,1
38075,1
38077,1
38079,1
39879,1
39880,1
39896,1
39897,1
39898,1
39899,1
39900,1
39901,1
39902,1
39920,1
39922,1
39927,1
39928,1
39941,1
39942,1
39946,1
39947,1
39950,1
39951,1
39954,1
39956,1
39958,1
39976,1
39983,1
39984,1
39985,1
39986,1
39987,1
39988,1
40000,1
40002,1
40014,1
40016,1
40017,1
40018,1
40019,1
40033,1
40047,1
40048,1
40049,1
40050,1
40051,1
40052,1
40053,1
40073,1
40081,1
40083,1
40084,1
40085,1
40100,1
40131,1
40181,1
40192,1
40193,1
40194,1
40195,1
40196,1
40420,1
42127,1
42129,1
42130,1
42138,1
42139,1
42140,1
42141,1
42142,1
42143,1
42144,1
42148,1
42149,1
42150,1
42151,1
42152,1
42153,1
42154,1
42155,1
42156,1
42157,1
42158,1
42160,1
42161,1
42162,1
42163,1
42164,1
42165,1
42166,1
42167,1
42168,1
42169,1
42170,1
42172,1
42173,1
42174,1
42175,1
42176,1
42177,1
42178,1
42179,1
42180,1
42181,1
42183,1
42184,1
42185,1
42186,1
42187,1
42188,1
42189,1
42190,1
42191,1
42192,1
42196,1
42197,1
42198,1
42204,1
42205,1
42208,1
42209,1
42210,1
42211,1
42212,1
42213,1
42214,1
42218,1
42219,1
42220,1
42221,1
42222,1
42227,1
42228,1
42233,1
42234,1
42237,1
42238,1
44334,1
44335,1
44372,1
44376,1
44416,1
44417,1
44446,1
44489,1
44522,1
44552,1
44622,1
44623,1
44624,1
44627,1
44660,1
44661,1
44662,1
44663,1
44667,1
44676,1
44677,1
44678,1
44679,1
44692,1
44693,1
44694,1
44696,1
44707,1
44708,1
44709,1
44710,1
44723,1
44724,1
44725,1
44726,1
44740,1
44742,1
44768,1
44778,1
44780,1
44781,1
44782,1
44783,1
47111,1
47112,1
47113,1
47114,1
47147,1
47148,1
47149,1
47152,1
47153,1
47187,1
47189,1
47222,1
34693,2
37098,2
37125,2
37126,2
37127,2
37128,2
37129,2
37130,2
37142,2
37143,2
37144,2
37145,2
37146,2
37147,2
37161,2
37162,2
37163,2
37165,2
37166,2
37167,2
37168,2
37169,2
37170,2
37183,2
37184,2
37185,2
37189,2
37207,2
37208,2
37209,2
37210,2
37211,2
37230,2
37233,2
37237,2
37251,2
37257,2
37258,2
37259,2
37261,2
37262,2
37279,2
37284,2
37288,2
37293,2
37317,2
37327,2
37338,2
37360,2
37401,2
37848,2
37855,2
37862,2
37863,2
38008,2
38023,2
38046,2
38053,2
38056,2
38057,2
38061,2
38065,2
38076,2
39399,2
39400,2
39423,2
39434,2
39923,2
39924,2
39925,2
39926,2
39949,2
39952,2
39955,2
39957,2
39971,2
39975,2
39977,2
39982,2
40001,2
40003,2
40004,2
40005,2
40006,2
40007,2
40008,2
40009,2
40010,2
40013,2
40015,2
40032,2
40034,2
40035,2
40036,2
40044,2
40045,2
40046,2
40069,2
40072,2
40075,2
40076,2
40077,2
40078,2
40079,2
40080,2
40082,2
40104,2
40105,2
40106,2
40107,2
40108,2
40109,2
40110,2
40111,2
40112,2
40113,2
40114,2
40133,2
40134,2
40135,2
40139,2
40156,2
40163,2
40164,2
40175,2
40176,2
40180,2
40445,2
40447,2
40448,2
40450,2
40451,2
40474,2
40475,2
40476,2
40490,2
40502,2
40529,2
40565,2
40580,2
40585,2
40586,2
40610,2
40626,2
40627,2
40649,2
42171,2
42182,2
42193,2
42194,2
42195,2
42199,2
42200,2
42201,2
42202,2
42203,2
42206,2
42207,2
42215,2
42216,2
42217,2
42223,2
42224,2
42225,2
42226,2
42236,2
44333,2
44370,2
44371,2
44377,2
44379,2
44410,2
44411,2
44414,2
44415,2
44418,2
44445,2
44447,2
44482,2
44483,2
44484,2
44488,2
44516,2
44517,2
44546,2
44547,2
44548,2
44549,2
44574,2
44576,2
44577,2
44579,2
44599,2
44600,2
44604,2
44625,2
44643,2
44644,2
44645,2
44646,2
44664,2
44680,2
44697,2
44711,2
44727,2
44728,2
44738,2
44739,2
44741,2
44753,2
44754,2
44755,2
44766,2
44772,2
44777,2
44787,2
44788,2
44789,2
44790,2
44791,2
44795,2
47143,2
47150,2
47151,2
31954,3
31968,3
34173,3
34181,3
34183,3
34184,3
34189,3
34191,3
34194,3
34728,3
34730,3
34754,3
36956,3
36978,3
37101,3
37172,3
37173,3
37187,3
37188,3
37190,3
37191,3
37192,3
37193,3
37213,3
37214,3
37215,3
37232,3
37239,3
37242,3
37243,3
37253,3
37268,3
37269,3
37270,3
37271,3
37272,3
37277,3
37278,3
37294,3
37295,3
37296,3
37297,3
37298,3
