cpa_id,cluster
43841,1
45826,1
45827,1
45828,1
45870,1
45871,1
45872,1
45912,1
45913,1
45915,1
45917,1
45918,1
45957,1
45960,1
45962,1
45964,1
45965,1
45966,1
45967,1
45968,1
45999,1
46001,1
46002,1
46003,1
46004,1
46005,1
46006,1
46007,1
46008,1
46009,1
46045,1
46046,1
46047,1
46048,1
46049,1
46050,1
46051,1
46052,1
46053,1
46091,1
46092,1
46093,1
46094,1
46095,1
46096,1
46097,1
46098,1
46099,1
46103,1
46104,1
46144,1
46145,1
46146,1
46147,1
46148,1
46149,1
46150,1
46155,1
46156,1
46194,1
46195,1
46199,1
46207,1
46214,1
46245,1
46251,1
46252,1
46295,1
48144,1
48220,1
48221,1
48222,1
48223,1
48226,1
48228,1
48229,1
48256,1
48257,1
48258,1
48260,1
48261,1
48262,1
48264,1
48267,1
48293,1
48297,1
48298,1
48299,1
48300,1
48301,1
48306,1
48329,1
48330,1
48331,1
48332,1
48333,1
48334,1
48335,1
48336,1
48337,1
48338,1
48339,1
48341,1
48342,1
48345,1
48365,1
48368,1
48369,1
48370,1
48371,1
48372,1
48373,1
48397,1
48398,1
48399,1
48400,1
48401,1
48402,1
48403,1
48404,1
48405,1
48406,1
48414,1
48417,1
48431,1
48432,1
48434,1
48435,1
48436,1
48438,1
48439,1
48448,1
48468,1
48470,1
48471,1
48472,1
48473,1
48474,1
48475,1
48476,1
48477,1
48480,1
48489,1
48504,1
48505,1
48506,1
48507,1
48508,1
48509,1
48512,1
48515,1
48535,1
48536,1
48537,1
48540,1
48543,1
48565,1
48566,1
48567,1
48569,1
48570,1
48573,1
48574,1
48590,1
48591,1
48597,1
48598,1
48617,1
50532,1
50592,1
50660,1
50698,1
50700,1
50710,1
50757,1
50788,1
50804,1
50852,1
43747,2
43750,2
43777,2
43778,2
44239,2
44279,2
45317,2
45334,2
46205,2
46206,2
48100,2
48101,2
48102,2
48176,2
48180,2
48181,2
48182,2
48184,2
48187,2
48190,2
48216,2
48217,2
48224,2
48225,2
48254,2
48259,2
48294,2
48295,2
48296,2
48307,2
48343,2
48344,2
48366,2
48367,2
48374,2
48375,2
48376,2
48377,2
48378,2
48379,2
48380,2
48407,2
48408,2
48409,2
48410,2
48411,2
48413,2
48419,2
48420,2
48440,2
48441,2
48442,2
48443,2
48444,2
48445,2
48446,2
48447,2
48453,2
48478,2
48479,2
48482,2
48487,2
48488,2
48510,2
48511,2
48513,2
48514,2
48517,2
48541,2
48542,2
48544,2
48547,2
48571,2
48595,2
48605,2
48606,2
48610,2
48616,2
48626,2
48628,2
48643,2
50205,2
50216,2
50261,2
50269,2
50279,2
50283,2
50323,2
50338,2
50340,2
50342,2
50346,2
50347,2
50352,2
50389,2
50390,2
50393,2
50394,2
50400,2
50405,2
50408,2
50410,2
50411,2
50418,2
50452,2
50459,2
50461,2
50466,2
50468,2
50469,2
50471,2
50472,2
50474,2
50475,2
50476,2
50490,2
50491,2
50516,2
50518,2
50519,2
50533,2
50534,2
50535,2
50536,2
50537,2
50540,2
50541,2
50550,2
50551,2
50554,2
50555,2
50583,2
50585,2
50586,2
50587,2
50595,2
50601,2
50602,2
50612,2
50616,2
50619,2
50645,2
50655,2
50657,2
50658,2
50661,2
50662,2
50682,2
50684,2
50699,2
50709,2
50713,2
50736,2
50737,2
50738,2
50758,2
50759,2
50769,2
50770,2
50772,2
50773,2
50775,2
50776,2
50783,2
50786,2
50790,2
50791,2
50792,2
50810,2
50813,2
50821,2
50823,2
50840,2
50841,2
50849,2
50850,2
50851,2
37731,3
43717,3
43718,3
43719,3
43726,3
43727,3
43728,3
43748,3
43749,3
43779,3
43809,3
44070,3
44142,3
45301,3
45302,3
45315,3
45316,3
45318,3
45319,3
45333,3
45335,3
45336,3
45337,3
48099,3
48138,3
48139,3
48140,3
48141,3
48142,3
48143,3
48177,3
48183,3
48185,3
48186,3
48188,3
48189,3
48191,3
48230,3
48454,3
48518,3
48519,3
48520,3
48545,3
48546,3
48572,3
48596,3
48627,3
48630,3
48631,3
48632,3
48644,3
48645,3
48647,3
48650,3
48651,3
48660,3
48665,3
49555,3
49930,3
50262,3
50263,3
50264,3
50265,3
50266,3
50324,3
50325,3
50326,3
50327,3
50328,3
50329,3
50337,3
50343,3
50344,3
50353,3
50361,3
50404,3
50417,3
50425,3
50426,3
50427,3
50453,3
50454,3
50455,3
50456,3
50457,3
50477,3
50479,3
50480,3
50486,3
50487,3
50488,3
50489,3
50520,3
50521,3
50522,3
50523,3
50524,3
50525,3
50526,3
50542,3
50588,3
50590,3
50591,3
50593,3
50598,3
50599,3
50600,3
50603,3
50604,3
50605,3
50606,3
50626,3
50646,3
50647,3
50650,3
50651,3
50663,3
50664,3
50665,3
50666,3
50667,3
50668,3
50675,3
50677,3
50678,3
50679,3
50680,3
50681,3
50683,3
50708,3
50711,3
50712,3
50714,3
50715,3
50716,3
50717,3
50718,3
50719,3
50720,3
50721,3
50722,3
50723,3
50730,3
50731,3
50732,3
50733,3
50734,3
50735,3
50762,3
50763,3
50764,3
50765,3
50766,3
50767,3
50768,3
50771,3
50774,3
50781,3
50782,3
50784,3
50785,3
50789,3
