Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11
9000,1,1,1,9000,4,120,3480,1,12527,1098,832,1648,189,1019,1811,5244,1629,14985,59316
,2,0.067,0.075,603,,,2280,2,11622,1048,794,1573,179,973,1728,4968,1542,14202,56701
,,,,,,,2880,3,11114,1016,770,1525,174,943,1676,4803,1491,13824,55586
,,,,,,,120,4,10917,1003,759,1506,171,931,1655,4761,1481,13758,55442
,,,,,,,,5,10722,1014,768,1522,174,941,1673,4846,1508,14018,56593
,,,,,,,,6,11112,1080,818,1620,185,1001,1782,5197,1622,15232,60818
,,,,,,,,7,13171,1222,926,1833,210,1131,2021,6021,1896,17554,68142
,,,,,,,,8,15230,1344,1018,2016,230,1245,2223,6632,2089,19070,72966
,,,,,,,,9,15366,1398,1059,2097,240,1295,2309,6820,2138,19370,74843
,,,,,,,,10,15291,1440,1090,2160,247,1335,2375,6960,2172,19594,75733
,,,,,,,,11,15480,1473,1115,2209,252,1366,2431,7132,2227,19849,76723
,,,,,,,,12,12662,1384,1047,2075,236,1284,2277,6551,2025,17235,75906
,,,,,,,,13,12355,1374,1041,2062,235,1275,2261,6482,1999,17013,75547
,,,,,,,,14,12183,1373,1040,2059,235,1274,2259,6471,1996,16597,74040
,,,,,,,,15,12659,1376,1042,2065,235,1277,2266,6492,2004,16778,74368
,,,,,,,,16,13194,1398,1058,2096,240,1296,2302,6646,2056,17475,75263
,,,,,,,,17,13812,1407,1065,2111,241,1305,2319,6764,2098,17881,76789
,,,,,,,,18,14171,1416,1072,2123,243,1312,2335,6910,2151,18037,76897
,,,,,,,,19,13193,1340,1015,2011,229,1243,2208,6524,2023,15762,72769
,,,,,,,,20,12726,1343,1017,2015,230,1246,2215,6567,2039,14936,69254
,,,,,,,,21,13577,1405,1064,2108,241,1303,2318,6922,2156,15970,70726
,,,,,,,,22,13852,1363,1032,2045,233,1264,2249,6672,2075,16495,70345
,,,,,,,,23,13674,1279,968,1918,219,1186,2109,6209,1931,16521,66567
,,,,,,,,24,13338,1187,898,1780,203,1100,1957,5708,1774,16232,63083
,,,,,,,,25,12442,1126,852,1688,193,1044,1857,5547,1727,15183,59540
,,,,,,,,26,11338,1063,805,1595,182,985,1753,5201,1618,14153,56257
,,,,,,,,27,10837,1030,780,1546,177,955,1699,5040,1567,13694,55020
