Period_Index,Rep_Period_Index,Month,Rep_Period
1,4,1,1
2,1,1,23
3,1,1,23
4,1,1,23
5,1,1,23
6,1,1,23
7,1,2,23
8,1,2,23
9,1,2,23
10,3,2,34
11,1,2,23
12,1,3,23
13,1,3,23
14,1,3,23
15,1,3,23
16,3,3,34
17,3,3,34
18,1,3,23
19,1,4,23
20,1,4,23
21,3,4,34
22,1,4,23
23,1,4,23
24,1,4,23
25,3,5,34
26,3,5,34
27,1,5,23
28,3,5,34
29,3,5,34
30,3,5,34
31,1,6,23
32,3,6,34
33,3,6,34
34,3,6,34
35,2,6,50
36,1,6,23
37,2,7,50
38,2,7,50
39,2,7,50
40,2,7,50
41,3,7,34
42,2,7,50
43,2,8,50
44,2,8,50
45,2,8,50
46,2,8,50
47,2,8,50
48,3,8,34
49,2,9,50
50,2,9,50
51,2,9,50
52,2,9,50
53,3,9,34
54,3,9,34
55,3,10,34
56,3,10,34
57,3,10,34
58,1,10,23
59,1,10,23
60,3,10,34
61,1,11,23
62,1,11,23
63,2,11,50
64,2,11,50
65,2,11,50
66,3,11,34
67,2,12,50
68,3,12,34
69,3,12,34
70,3,12,34
71,1,12,23
72,1,12,23
73,1,12,23
