region,Resource,technology,cluster,R_ID,Zone,Num_VRE_Bins,CapRes_1,CapRes_2,THERM,VRE,MUST_RUN,STOR,FLEX,LDS,HYDRO,ESR_1,ESR_2,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,voltage_level,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,NACC_Eff,NACC_Peak_to_Base,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,ids,HEAT,TRADER,NACC,Commit,Hydro_level,ESR_3,ESR_4,ESR_5,ESR_6,CapRes_3,MinCapTag_1,MinCapTag_2,MinCapTag_3,MinCapTag_4,MinCapTag_5,MinCapTag_6,MinCapTag_7,MinCapTag_8,MinCapTag_9,MinCapTag_10,MinCapTag_11,MinCapTag_12,MinCapTag_13
NENG_Rest,NENG_Rest_biomass_1,Biomass,1,1,1,0,0.93,0.0,0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,43.3,0.0,5.0,161.8,-1,8.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,150850,0.0,0,0,12.55,0.0,0.0,0.0,0.0,0.0,29.2,3.126,3.358,trans,None,0.149,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NENG_Rest,NENG_Rest_biomass_2,Biomass,2,2,1,0,0.93,0.0,0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,150.0,0.0,55.0,560.505,-1,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,150850,0.0,0,0,4.68,0.0,0.0,0.0,0.0,0.0,10.88,2.765,1.401,trans,None,0.297,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NENG_Rest,NENG_Rest_biomass_3,Biomass,3,3,1,0,0.93,0.0,0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,153.9,0.0,22.0,574.992,-1,6.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,150850,0.0,0,0,7.43,0.0,0.0,0.0,0.0,0.0,17.3,3.508,2.487,trans,None,0.305,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,1,4,1,0,0.8,0.0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,1083.4,0.0,116.0,1083.44,-1,9.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53201,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,trans,None,0.258,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.083,0.083,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NENG_Rest,NENG_Rest_conventional_steam_coal_1,Conventional Steam Coal,1,5,1,0,0.93,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,534.6,0.0,4.0,534.6,0,133.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,86511,0.0,0,0,2.12,0.0,0.0,0.0,140.0,16.5,11.92,3.306,1.92,trans,new_england_coal,0.374,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,24,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NENG_Rest,NENG_Rest_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,1,6,1,0,0.95,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,28365.0,1830.0,0.0,9.0,1829.997,-1,203.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53201,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,trans,None,0.528,0.0,0.866,0.866,0.0,0.0063,0.0,16.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,1,7,1,0,0.93,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3842.1,0.0,26.0,3842.098,0,147.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18649,0.0,0,0,5.15,0.0,0.0,0.0,104.0,2.0,8.98,2.248,2.488,trans,new_england_naturalgas,0.521,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2,8,1,0,0.93,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,10513.3,0.0,23.0,10513.3,0,457.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11067,0.0,0,0,4.08,0.0,0.0,0.0,104.0,2.0,7.48,0.48,0.483,trans,new_england_naturalgas,0.413,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,1,9,1,0,0.93,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1438.4,0.0,30.0,1438.41,0,47.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12368,0.0,0,0,5.97,0.0,0.0,0.0,135.0,3.5,9.84,0.312,0.558,trans,new_england_naturalgas,0.261,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2,10,1,0,0.93,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,624.4,0.0,20.0,624.4,0,31.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14206,0.0,0,0,5.97,0.0,0.0,0.0,135.0,3.5,12.23,0.0,0.168,trans,new_england_naturalgas,0.572,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
