Time_Index,None,pacific_naturalgas,rockies_coal,rockies_naturalgas,rockies_uranium,pacific_uranium,pacific_naturalgas_ccs100,rockies_naturalgas_ccs100
0,0.0,0.05306,0.09552,0.05306,0.0,0.0,0.0,0.0
1,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
2,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
3,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
4,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
5,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
6,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
7,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
8,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
9,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
10,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
11,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
12,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
13,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
14,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
15,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
16,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
17,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
18,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
19,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
20,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
21,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
22,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
23,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
24,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
25,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
26,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
27,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
28,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
29,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
30,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
31,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
32,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
33,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
34,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
35,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
36,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
37,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
38,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
39,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
40,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
41,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
42,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
43,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
44,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
45,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
46,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
47,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
48,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
49,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
50,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
51,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
52,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
53,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
54,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
55,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
56,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
57,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
58,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
59,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
60,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
61,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
62,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
