Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
9000.0,1.0,1.0,1.0,9000.0,4.0,120.0,4440.0,1,7382.0,11468.0,8623.0,16881.0,13818.0,10360.0
,2.0,0.067,0.075,603.0,,,2520.0,2,8445.0,13135.0,8697.0,16794.0,13896.0,10210.0
,,,,,,,1680.0,3,9879.0,15384.0,8702.0,16636.0,14487.0,10009.0
,,,,,,,120.0,4,9850.0,15331.0,8797.0,16783.0,14817.0,10005.0
,,,,,,,,5,9874.0,15360.0,9039.0,17178.0,15330.0,10279.0
,,,,,,,,6,10335.0,16075.0,9521.0,17875.0,16387.0,10641.0
,,,,,,,,7,11066.0,17223.0,10153.0,19130.0,17972.0,11005.0
,,,,,,,,8,12170.0,18951.0,10839.0,20573.0,19383.0,11486.0
,,,,,,,,9,12966.0,20190.0,11205.0,21737.0,19935.0,11686.0
,,,,,,,,10,13587.0,21157.0,11611.0,22872.0,20297.0,12343.0
,,,,,,,,11,14323.0,22302.0,11962.0,24161.0,20811.0,12901.0
,,,,,,,,12,15080.0,23483.0,12325.0,25326.0,21297.0,13242.0
,,,,,,,,13,15562.0,24239.0,12613.0,25895.0,21646.0,13532.0
,,,,,,,,14,15865.0,24709.0,12666.0,25650.0,21719.0,13362.0
,,,,,,,,15,13288.0,20665.0,12774.0,25373.0,21017.0,13607.0
,,,,,,,,16,13758.0,21401.0,13036.0,25864.0,21697.0,14057.0
,,,,,,,,17,14327.0,22301.0,13441.0,25842.0,22669.0,15006.0
,,,,,,,,18,14384.0,22402.0,13257.0,25129.0,23327.0,14258.0
,,,,,,,,19,13048.0,20317.0,12652.0,23439.0,22095.0,13088.0
,,,,,,,,20,11345.0,17661.0,11865.0,21969.0,20379.0,12952.0
,,,,,,,,21,10959.0,17061.0,11073.0,20444.0,19705.0,12159.0
,,,,,,,,22,9192.0,14301.0,10195.0,18942.0,18201.0,11049.0
,,,,,,,,23,7858.0,12219.0,9262.0,17313.0,16438.0,10650.0
,,,,,,,,24,6915.0,10743.0,8777.0,16609.0,14891.0,10096.0
,,,,,,,,25,7049.0,10948.0,8616.0,16282.0,14063.0,10052.0
,,,,,,,,26,8294.0,12898.0,8605.0,16283.0,14041.0,9883.0
,,,,,,,,27,9734.0,15158.0,8640.0,16188.0,14487.0,9752.0
,,,,,,,,28,9718.0,15127.0,8718.0,16327.0,14771.0,9734.0
,,,,,,,,29,9814.0,15267.0,8987.0,16703.0,15279.0,10035.0
,,,,,,,,30,10286.0,16000.0,9562.0,17515.0,16379.0,10530.0
,,,,,,,,31,10959.0,17057.0,10280.0,18934.0,18004.0,10861.0
,,,,,,,,32,11974.0,18645.0,11008.0,20508.0,19514.0,11278.0
,,,,,,,,33,12684.0,19752.0,11499.0,21791.0,20264.0,11517.0
