Period_Index,Rep_Period_Index,Month,Rep_Period
1,3,1,15
2,2,1,62
3,3,1,15
4,3,1,15
5,3,1,15
6,3,1,15
7,2,2,62
8,2,2,62
9,2,2,62
10,2,2,62
11,3,2,15
12,3,3,15
13,3,3,15
14,3,3,15
15,3,3,15
16,3,3,15
17,1,3,42
18,3,3,15
19,1,4,42
20,1,4,42
21,1,4,42
22,1,4,42
23,1,4,42
24,1,4,42
25,1,5,42
26,1,5,42
27,1,5,42
28,1,5,42
29,1,5,42
30,1,5,42
31,1,6,42
32,1,6,42
33,1,6,42
34,1,6,42
35,1,6,42
36,1,6,42
37,1,7,42
38,1,7,42
39,1,7,42
40,1,7,42
41,1,7,42
42,1,7,42
43,1,8,42
44,1,8,42
45,1,8,42
46,4,8,46
47,1,8,42
48,1,8,42
49,1,9,42
50,1,9,42
51,1,9,42
52,1,9,42
53,1,9,42
54,1,9,42
55,2,10,62
56,1,10,42
57,2,10,62
58,3,10,15
59,2,10,62
60,2,10,62
61,2,11,62
62,2,11,62
63,2,11,62
64,2,11,62
65,2,11,62
66,2,11,62
67,2,12,62
68,2,12,62
69,2,12,62
70,2,12,62
71,3,12,15
72,2,12,62
73,2,12,62
