cpa_id,cluster
13879,1
13880,1
13881,1
13887,1
13888,1
13905,1
13906,1
13916,1
13917,1
13918,1
13919,1
13920,1
13930,1
13931,1
13932,1
13941,1
13942,1
13943,1
13944,1
13946,1
13947,1
13954,1
13966,1
13967,1
13968,1
13978,1
13979,1
13990,1
14042,1
14055,1
13921,2
13922,2
13923,2
13933,2
13934,2
13935,2
13945,2
13948,2
13955,2
13956,2
13965,2
13969,2
13970,2
13980,2
13989,2
13991,2
13992,2
13993,2
14006,2
14007,2
14008,2
14009,2
14018,2
14019,2
14020,2
14030,2
14031,2
14043,2
13924,3
13925,3
13936,3
13937,3
13949,3
13950,3
13951,3
13957,3
13958,3
13959,3
13971,3
13972,3
13973,3
13974,3
13981,3
13982,3
13994,3
13995,3
13996,3
14010,3
14011,3
14012,3
14021,3
14032,3
14033,3
14034,3
14044,3
14045,3
13926,4
13938,4
13939,4
13952,4
13960,4
13961,4
13962,4
13975,4
13976,4
13983,4
13984,4
13985,4
13986,4
13997,4
13998,4
13999,4
14013,4
14014,4
14022,4
14023,4
14024,4
14025,4
14035,4
14046,4
14047,4
14048,4
14049,4
14050,4
13927,5
13928,5
13929,5
13940,5
13953,5
13963,5
13964,5
13977,5
13987,5
13988,5
14000,5
14001,5
14002,5
14003,5
14004,5
14005,5
14015,5
14016,5
14017,5
14026,5
14027,5
14028,5
14029,5
14036,5
14037,5
14038,5
14039,5
14040,5
14041,5
