cpa_id,cluster
1,1
2,1
12,1
24,1
44,1
59,1
64,1
75,1
140,1
150,1
190,1
208,1
209,1
229,1
238,1
244,1
245,1
247,1
248,1
252,1
262,1
267,1
275,1
278,1
288,1
294,1
317,1
335,1
494,1
500,1
592,1
615,1
687,1
727,1
731,1
743,1
749,1
757,1
768,1
781,1
796,1
804,1
898,1
7603,1
7604,1
7605,1
7606,1
7607,1
7608,1
7609,1
7610,1
7611,1
7620,1
7621,1
7625,1
7632,1
7633,1
7634,1
7635,1
7636,1
7637,1
7638,1
7639,1
7640,1
7641,1
7642,1
7643,1
7644,1
7645,1
7646,1
7647,1
7648,1
7649,1
7650,1
7651,1
7652,1
7653,1
7654,1
7655,1
7657,1
7658,1
7659,1
7660,1
7665,1
7669,1
7670,1
7671,1
7672,1
7673,1
7675,1
7676,1
7677,1
7678,1
7679,1
7680,1
7682,1
7683,1
7684,1
7709,1
7715,1
7716,1
7717,1
7720,1
7721,1
7722,1
7723,1
7724,1
7725,1
7726,1
7727,1
7728,1
7729,1
7730,1
7732,1
7733,1
7735,1
7744,1
7745,1
7746,1
7747,1
7764,1
7768,1
7804,1
7805,1
7806,1
7807,1
7808,1
7812,1
7813,1
7843,1
7844,1
7875,1
8131,1
8132,1
8133,1
8134,1
8135,1
8136,1
8140,1
8189,1
8196,1
8201,1
8202,1
8203,1
8204,1
8205,1
8207,1
8208,1
8209,1
8210,1
8214,1
8216,1
8222,1
8233,1
8234,1
8235,1
8237,1
8238,1
8239,1
8240,1
8241,1
8243,1
8244,1
8245,1
8246,1
8247,1
8250,1
8251,1
8252,1
8253,1
8255,1
8256,1
8257,1
8258,1
8259,1
8260,1
8261,1
8262,1
8263,1
8264,1
8265,1
8344,1
8348,1
8349,1
8350,1
8351,1
8352,1
8353,1
8354,1
8355,1
8356,1
8367,1
8371,1
8381,1
8384,1
8385,1
8386,1
8388,1
8389,1
8390,1
8391,1
8392,1
8393,1
8394,1
8395,1
8396,1
8397,1
8398,1
8399,1
8400,1
8401,1
8402,1
8403,1
8404,1
8405,1
8406,1
8407,1
8408,1
8409,1
8410,1
8411,1
8412,1
8413,1
8418,1
8419,1
8420,1
8421,1
8422,1
8423,1
8432,1
8433,1
8434,1
8435,1
8437,1
8438,1
8446,1
8447,1
8452,1
8453,1
8455,1
8456,1
8458,1
8459,1
8461,1
8463,1
8464,1
8465,1
8466,1
8467,1
8477,1
8478,1
8479,1
8480,1
8481,1
8482,1
8483,1
8484,1
8485,1
8486,1
8487,1
8488,1
8489,1
8490,1
8491,1
8508,1
8509,1
8510,1
8523,1
8524,1
8525,1
8526,1
8545,1
8547,1
8562,1
8564,1
8583,1
8584,1
8587,1
8607,1
8608,1
8613,1
8634,1
8635,1
8636,1
8638,1
8639,1
8659,1
8660,1
8693,1
8694,1
8783,1
8785,1
8793,1
8800,1
8801,1
8802,1
8803,1
8804,1
8805,1
8806,1
8808,1
8809,1
8810,1
8817,1
8818,1
8819,1
8820,1
8821,1
8822,1
8823,1
8826,1
8828,1
8829,1
8850,1
8854,1
8855,1
8856,1
8860,1
8861,1
8862,1
8863,1
8865,1
8868,1
8869,1
8870,1
8873,1
8876,1
8877,1
8882,1
8887,1
8888,1
8889,1
8890,1
8894,1
8895,1
8896,1
8897,1
8900,1
8901,1
8911,1
8912,1
8924,1
8925,1
8926,1
8927,1
8928,1
8935,1
8938,1
8963,1
9415,1
9734,1
9739,1
9761,1
9763,1
9774,1
9775,1
9776,1
9791,1
9944,1
9945,1
9946,1
9947,1
10024,1
10025,1
10026,1
10027,1
10028,1
10029,1
10030,1
10032,1
10033,1
10034,1
10035,1
10036,1
10037,1
10039,1
10040,1
10041,1
10046,1
10047,1
10056,1
10057,1
10058,1
10062,1
10064,1
10068,1
10069,1
10075,1
10082,1
10140,1
10141,1
10142,1
10146,1
10147,1
10148,1
10149,1
10150,1
10151,1
10152,1
10171,1
10172,1
10173,1
10174,1
10176,1
10177,1
10178,1
10179,1
10180,1
10181,1
10182,1
10183,1
10184,1
10185,1
10186,1
10187,1
10188,1
10189,1
10192,1
10196,1
10197,1
10198,1
10199,1
10201,1
10207,1
10208,1
10209,1
10210,1
10217,1
10218,1
10219,1
10220,1
10254,1
10266,1
10267,1
10281,1
10282,1
10299,1
10321,1
10322,1
10323,1
10343,1
10363,1
10377,1
10379,1
10388,1
10389,1
10398,1
10399,1
10572,1
10575,1
10576,1
10577,1
10578,1
10580,1
10581,1
10866,1
10867,1
10868,1
10873,1
10874,1
10925,1
10926,1
10927,1
10936,1
10941,1
10945,1
10946,1
10951,1
10952,1
10955,1
10958,1
10959,1
10960,1
10967,1
11791,1
11845,1
11846,1
11847,1
11848,1
11849,1
11850,1
11851,1
11855,1
11856,1
11881,1
11882,1
11883,1
11884,1
11885,1
