cpa_id,cluster
12446,1
12447,1
12457,1
12458,1
12459,1
12465,1
12466,1
12467,1
12468,1
12475,1
12476,1
12477,1
12478,1
12479,1
12487,1
12488,1
12489,1
12490,1
12496,1
12497,1
12498,1
12499,1
12500,1
12501,1
12504,1
12505,1
12506,1
12507,1
12508,1
12509,1
12510,1
12516,1
12517,1
12518,1
12519,1
12520,1
12521,1
12522,1
12523,1
12524,1
12525,1
12530,1
12531,1
12532,1
12533,1
12534,1
12535,1
12536,1
12537,1
12538,1
12539,1
12540,1
12541,1
12546,1
12547,1
12548,1
12549,1
12550,1
12551,1
12552,1
12553,1
12554,1
12559,1
12561,1
12562,1
12563,1
12564,1
12565,1
12566,1
12567,1
12568,1
12576,1
12577,1
12578,1
12579,1
12580,1
12581,1
12582,1
12592,1
12593,1
12594,1
12595,1
12596,1
12597,1
12603,1
12604,1
12605,1
12612,1
12613,1
12614,1
12625,1
12626,1
12814,1
12849,1
12850,1
12851,1
12857,1
12858,1
12859,1
12860,1
12861,1
12867,1
12868,1
12869,1
12870,1
12872,1
12873,1
12874,1
12875,1
12876,1
12877,1
12878,1
12880,1
12881,1
12882,1
12883,1
12884,1
12885,1
12886,1
12887,1
12888,1
12889,1
12890,1
12891,1
12892,1
12893,1
12894,1
12895,1
12896,1
12897,1
12898,1
12899,1
12900,1
12901,1
12902,1
12903,1
12904,1
12905,1
12906,1
12907,1
12908,1
12909,1
12910,1
12912,1
12913,1
12914,1
12915,1
12916,1
12917,1
12921,1
12922,1
12923,1
12924,1
12925,1
12926,1
12927,1
12928,1
12929,1
12933,1
12934,1
12935,1
12936,1
12937,1
12938,1
12939,1
12940,1
12941,1
12942,1
12943,1
12944,1
12945,1
12946,1
12947,1
12948,1
12950,1
12951,1
12952,1
12953,1
12954,1
12955,1
12956,1
12957,1
12958,1
12959,1
12960,1
12961,1
12962,1
12963,1
12964,1
12965,1
12966,1
12967,1
12968,1
12971,1
12972,1
12973,1
12974,1
12975,1
12976,1
12977,1
12984,1
12511,2
12512,2
12526,2
12527,2
12542,2
12543,2
12544,2
12545,2
12555,2
12556,2
12557,2
12558,2
12560,2
12569,2
12570,2
12571,2
12572,2
12573,2
12574,2
12575,2
12583,2
12584,2
12585,2
12586,2
12587,2
12588,2
12589,2
12590,2
12591,2
12598,2
12599,2
12600,2
12601,2
12602,2
12606,2
12607,2
12608,2
12609,2
12610,2
12611,2
12615,2
12616,2
12617,2
12618,2
12619,2
12620,2
12621,2
12622,2
12623,2
12624,2
12627,2
12628,2
12629,2
12630,2
12631,2
12632,2
12633,2
12634,2
12635,2
12636,2
12637,2
12638,2
12639,2
12640,2
12641,2
12642,2
12643,2
12644,2
12645,2
12646,2
12647,2
12648,2
12649,2
12650,2
12651,2
12652,2
12653,2
12654,2
12655,2
12656,2
12657,2
12658,2
12659,2
12660,2
12661,2
12662,2
12663,2
12664,2
12665,2
12666,2
12667,2
12668,2
12669,2
12670,2
12671,2
12672,2
12673,2
12674,2
12675,2
12676,2
12677,2
12678,2
12679,2
12680,2
12681,2
12682,2
12683,2
12684,2
12685,2
12686,2
12687,2
12688,2
12689,2
12690,2
12691,2
12692,2
12693,2
12694,2
12695,2
12696,2
12697,2
12698,2
12699,2
12700,2
12701,2
12702,2
12703,2
12704,2
12705,2
12706,2
12707,2
12708,2
12709,2
12710,2
12711,2
12712,2
12713,2
12715,2
12716,2
12717,2
12718,2
12719,2
12720,2
12721,2
12722,2
12723,2
12724,2
12728,2
12729,2
12730,2
12731,2
12732,2
12733,2
12734,2
12735,2
12736,2
12742,2
12743,2
12744,2
12745,2
12746,2
12747,2
12754,2
12755,2
12756,2
12757,2
12758,2
12759,2
12760,2
12761,2
12768,2
12769,2
12770,2
12771,2
12772,2
12773,2
12774,2
12780,2
12781,2
12782,2
12791,2
12792,2
12793,2
12794,2
12807,2
12808,2
12809,2
12911,2
12918,2
12919,2
12920,2
12930,2
12931,2
12932,2
12969,2
12978,2
12080,3
12081,3
12082,3
12083,3
12084,3
12085,3
12086,3
12087,3
12088,3
12089,3
12090,3
12091,3
12092,3
12093,3
12094,3
12095,3
12096,3
12097,3
12100,3
12101,3
12104,3
12105,3
12110,3
12111,3
12112,3
12113,3
12121,3
12122,3
12098,3
12099,3
12102,3
12103,3
12106,3
12107,3
12108,3
12109,3
12114,3
12115,3
12116,3
12117,3
12118,3
12119,3
12120,3
12123,3
12124,3
12125,3
12126,3
12127,3
12128,3
12129,3
12130,3
12131,3
12132,3
12133,3
12134,3
12137,3
12138,3
12139,3
12140,3
12141,3
12142,3
12143,3
12150,3
12151,3
12152,3
12153,3
12320,3
12321,3
12322,3
12323,3
12324,3
12325,3
12326,3
12327,3
12328,3
12329,3
12330,3
12331,3
12332,3
12334,3
12335,3
12336,3
12337,3
12338,3
12339,3
12341,3
12342,3
12343,3
12344,3
12345,3
12346,3
12347,3
12348,3
12349,3
12353,3
12354,3
12355,3
12356,3
12357,3
12358,3
12359,3
12360,3
12361,3
12362,3
12363,3
12364,3
12365,3
12371,3
12372,3
12373,3
12374,3
12375,3
12376,3
12377,3
12378,3
12379,3
12380,3
12382,3
12383,3
12384,3
12385,3
12386,3
12387,3
12388,3
12389,3
12390,3
12396,3
12397,3
12398,3
12399,3
12400,3
12410,3
12411,3
12412,3
12413,3
12422,3
12423,3
12424,3
12436,3
12437,3
12502,3
12513,3
12514,3
12515,3
12528,3
12529,3
12714,3
12725,3
12726,3
12727,3
12737,3
12738,3
12739,3
12740,3
12741,3
12748,3
12749,3
12750,3
12751,3
12752,3
12753,3
12762,3
12763,3
12764,3
12765,3
12766,3
12767,3
12775,3
12776,3
12777,3
12779,3
12783,3
12784,3
12785,3
12786,3
12787,3
12790,3
12795,3
12796,3
12797,3
12798,3
12803,3
12804,3
12805,3
12806,3
12810,3
12815,3
12816,3
12817,3
12842,3
12852,3
12853,3
12854,3
12862,3
12863,3
12864,3
12871,3
12949,3
12068,4
12069,4
12070,4
12071,4
12072,4
12073,4
12074,4
12075,4
12076,4
12077,4
12078,4
12079,4
12135,4
12136,4
12144,4
12145,4
12146,4
12147,4
12148,4
12149,4
12154,4
12155,4
12156,4
12157,4
12158,4
12159,4
12160,4
12161,4
12162,4
12163,4
12164,4
12165,4
12166,4
12167,4
12168,4
12169,4
12170,4
12171,4
12172,4
12173,4
12174,4
12175,4
12176,4
12177,4
12178,4
12179,4
12180,4
12181,4
12182,4
12183,4
12184,4
12185,4
12186,4
12187,4
12188,4
12189,4
12190,4
12191,4
12192,4
12193,4
12194,4
12195,4
12196,4
12197,4
12198,4
12199,4
12200,4
12201,4
12202,4
12203,4
12204,4
12205,4
12206,4
12207,4
12208,4
12209,4
12210,4
12211,4
12212,4
12213,4
12214,4
12215,4
12216,4
12217,4
12218,4
12219,4
12220,4
12221,4
12222,4
12223,4
12224,4
12225,4
12226,4
12227,4
12228,4
12229,4
12230,4
12231,4
12232,4
12233,4
12234,4
12235,4
12236,4
12237,4
12238,4
12239,4
12240,4
12245,4
12251,4
12252,4
12253,4
12254,4
12263,4
12264,4
12265,4
12266,4
12276,4
12286,4
12287,4
12288,4
12289,4
12290,4
12291,4
12292,4
12293,4
12294,4
12295,4
12296,4
12297,4
12298,4
12299,4
12300,4
12301,4
12302,4
12303,4
12304,4
12305,4
12306,4
12307,4
12308,4
12309,4
12310,4
12311,4
12312,4
12313,4
12314,4
12315,4
12316,4
12317,4
12318,4
12319,4
12333,4
12340,4
12350,4
12351,4
12352,4
12366,4
12367,4
12368,4
12369,4
12370,4
12381,4
12393,4
12394,4
12395,4
12406,4
12407,4
12408,4
12409,4
12418,4
12419,4
12420,4
12421,4
12432,4
12433,4
12434,4
12435,4
12448,4
12778,4
12788,4
12789,4
12799,4
12800,4
12801,4
12802,4
12811,4
12812,4
12813,4
12818,4
12819,4
12820,4
12821,4
12824,4
12825,4
12829,4
12830,4
12831,4
12832,4
12833,4
12834,4
12839,4
12840,4
12841,4
12865,4
12039,5
12040,5
12041,5
12042,5
12043,5
12044,5
12045,5
12046,5
12047,5
12048,5
12049,5
12050,5
12051,5
12052,5
12053,5
12054,5
12055,5
12056,5
12057,5
12058,5
12059,5
12060,5
12061,5
12062,5
12063,5
12064,5
12065,5
12066,5
