cpa_id,cluster
98421,1
98462,1
98480,1
98563,1
98824,1
99055,1
99061,1
99128,1
99188,1
99202,1
99404,1
99419,1
99423,1
99430,1
99435,1
99436,1
99440,1
99448,1
99463,1
99478,1
103365,1
103366,1
103386,1
103387,1
103388,1
103521,1
103661,1
103663,1
103664,1
103669,1
103670,1
103677,1
103678,1
103679,1
103686,1
103687,1
103693,1
103694,1
103695,1
103696,1
103697,1
103698,1
103700,1
103701,1
103707,1
103708,1
103710,1
103714,1
103715,1
103716,1
103717,1
103718,1
103723,1
103724,1
103784,1
103785,1
103789,1
103791,1
103797,1
103809,1
103810,1
103812,1
103813,1
103814,1
103815,1
103816,1
103817,1
103818,1
103819,1
103820,1
103821,1
103822,1
103823,1
103824,1
104648,1
104657,1
105187,1
105188,1
105218,1
105224,1
105229,1
105230,1
105231,1
105232,1
105233,1
105234,1
105259,1
105269,1
105272,1
105273,1
105301,1
105302,1
105812,1
105828,1
105960,1
106360,1
106361,1
106365,1
107124,1
107125,1
107698,1
107699,1
107700,1
107971,1
107972,1
107973,1
107975,1
108785,1
108786,1
108830,1
110441,1
110442,1
110443,1
110444,1
110445,1
110458,1
110516,1
110517,1
110519,1
110520,1
110521,1
110522,1
110523,1
110524,1
110528,1
110529,1
110533,1
110535,1
110536,1
110553,1
110572,1
110575,1
110576,1
110577,1
110578,1
110579,1
110580,1
110581,1
110582,1
110600,1
110601,1
110602,1
110603,1
110604,1
110669,1
110670,1
110671,1
110672,1
110673,1
110674,1
110675,1
110676,1
110677,1
110678,1
110679,1
110680,1
110681,1
110682,1
110683,1
110684,1
110685,1
110686,1
110687,1
110688,1
110689,1
110690,1
110691,1
110692,1
110693,1
110694,1
110695,1
110696,1
110697,1
110698,1
110699,1
110739,1
110778,1
110779,1
110780,1
110789,1
110790,1
110791,1
110792,1
110793,1
110794,1
110795,1
110796,1
110797,1
110798,1
110799,1
110800,1
110801,1
110802,1
110803,1
110804,1
110805,1
110806,1
110807,1
110808,1
110809,1
110810,1
110812,1
110813,1
110816,1
110817,1
110820,1
110821,1
110822,1
110823,1
110824,1
110825,1
110826,1
110827,1
110828,1
110829,1
110830,1
110831,1
111295,1
111296,1
111297,1
111298,1
111299,1
111300,1
111301,1
111302,1
111303,1
111304,1
111305,1
111306,1
111307,1
111308,1
111309,1
111310,1
111311,1
111312,1
111313,1
111314,1
111315,1
111316,1
111317,1
111318,1
111319,1
111330,1
111331,1
111332,1
111333,1
111334,1
111335,1
111336,1
111337,1
111338,1
111339,1
111340,1
111341,1
111342,1
111343,1
111344,1
111345,1
111346,1
111347,1
111348,1
111349,1
111350,1
111351,1
111352,1
111353,1
111354,1
111355,1
111356,1
111357,1
111358,1
111359,1
111360,1
111361,1
111362,1
111363,1
111364,1
111365,1
111366,1
111367,1
111368,1
111369,1
111370,1
111371,1
111372,1
111373,1
111374,1
111375,1
111376,1
111377,1
111378,1
111379,1
111380,1
111381,1
111382,1
111383,1
111384,1
111385,1
111386,1
111387,1
111388,1
111389,1
111390,1
111391,1
111392,1
111393,1
111394,1
111395,1
111396,1
111397,1
111398,1
111399,1
111400,1
111401,1
111402,1
111403,1
111404,1
111405,1
111406,1
111407,1
111408,1
111409,1
111410,1
111411,1
111412,1
111413,1
111414,1
111415,1
111416,1
111417,1
111418,1
111419,1
111420,1
111421,1
111423,1
111444,1
111445,1
111446,1
111447,1
111448,1
111449,1
111623,1
111624,1
111919,1
111920,1
111926,1
111927,1
111928,1
111932,1
111933,1
111936,1
