cpa_id,cluster
8,1
111,1
214,1
223,1
245,1
249,1
256,1
422,1
512,1
540,1
2283,1
2482,1
2483,1
2486,1
2538,1
2539,1
3027,1
3046,1
3058,1
3099,1
4522,1
4541,1
4547,1
4549,1
4944,1
5065,1
5147,1
5159,1
5176,1
5177,1
5338,1
5441,1
5453,1
5460,1
5466,1
5470,1
5503,1
6952,1
7015,1
9291,1
11304,1
123,2
200,2
206,2
279,2
320,2
377,2
388,2
397,2
416,2
834,2
842,2
880,2
892,2
943,2
2489,2
2495,2
2527,2
2602,2
2952,2
5012,2
5028,2
5075,2
5077,2
5084,2
5097,2
5133,2
5146,2
5148,2
5149,2
5160,2
5161,2
5163,2
5164,2
5772,2
5800,2
7055,2
7058,2
7069,2
9677,2
11302,2
72,3
103,3
219,3
309,3
336,3
344,3
351,3
367,3
373,3
399,3
408,3
441,3
444,3
469,3
696,3
861,3
960,3
4918,3
5073,3
5086,3
5088,3
5093,3
5106,3
5108,3
5109,3
5110,3
5112,3
5132,3
5779,3
5780,3
5788,3
5789,3
5795,3
5801,3
7041,3
7057,3
7068,3
7070,3
7082,3
9632,3
9634,3
143,4
147,4
268,4
644,4
768,4
853,4
1994,4
2007,4
2024,4
2066,4
2347,4
2349,4
2358,4
2359,4
2361,4
2380,4
2381,4
2382,4
2385,4
2399,4
2407,4
2774,4
2801,4
2803,4
2994,4
3069,4
3083,4
4506,4
4521,4
4524,4
4543,4
4544,4
4960,4
5459,4
6933,4
8737,4
24201,4
24458,4
24463,4
6,5
15,5
184,5
372,5
438,5
623,5
756,5
815,5
851,5
870,5
2986,5
2990,5
3004,5
3005,5
3015,5
3025,5
3026,5
3038,5
3066,5
3089,5
4457,5
4466,5
4467,5
4533,5
4546,5
4551,5
4552,5
5111,5
5120,5
5129,5
5143,5
5172,5
5214,5
6931,5
6934,5
9660,5
9706,5
9707,5
59,6
83,6
299,6
357,6
541,6
689,6
869,6
886,6
1893,6
2599,6
2827,6
2935,6
2954,6
3078,6
4929,6
4932,6
4933,6
5083,6
5162,6
5178,6
5180,6
5217,6
5221,6
5256,6
5496,6
5781,6
5799,6
5803,6
7023,6
7040,6
7056,6
7071,6
7073,6
7074,6
7080,6
7081,6
7084,6
7085,6
7091,6
14,7
23,7
52,7
154,7
363,7
554,7
781,7
843,7
