ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.078465105841872,18163.170803999998,3.9935740723541038
4,conventional_steam_coal,2,13567.68,13567.68,0.0,14.498017802378637,115320.39092582237,25.35573376393514
5,natural_gas_fired_combined_cycle,2,36734.21,36734.21,0.0,39.253080153446675,116789.24199527231,25.678693097985615
6,natural_gas_fired_combustion_turbine,2,4704.48,4704.48,0.0,5.027066881805456,566.2105591282598,0.12449389111783077
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,0.0,0.0
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,43854.72,9.642428331058763
9,onshore_wind_turbine,2,6979.0,6979.0,0.0,7.457551050938739,12429.795807800001,2.73296500915765
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,856.7212738499999,0.18836908507891492
12,conventional_steam_coal,3,650.0,650.0,0.0,0.6945705950867145,5016.153300880001,1.1029120400572447
13,natural_gas_fired_combined_cycle,3,3427.34,3427.34,0.0,3.662353205176154,19790.006154790677,4.351269738326478
14,natural_gas_fired_combustion_turbine,3,1207.96,1207.96,0.0,1.29078999390915,28.32668138,0.006228246242670955
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,23090.00027849999,5.076846297264308
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1469283951144973,288.50560749999994,0.06343432687353423
17,naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
18,naturalgas_ccavgcf,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
19,naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
23,utilitypv_losangeles,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
24,utilitypv_losangeles,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
25,utilitypv_losangeles,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
26,utilitypv_losangeles,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
27,battery,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
28,naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0
29,naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
30,naturalgas_ccavgcf,2,5988.866069999998,0.0,5988.866069999998,6.399523492514664,52318.73398751999,11.503428658224014
31,naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
32,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
33,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
34,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
35,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
36,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
37,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
38,utilitypv_losangeles,2,17148.450057012604,0.0,17148.450057012604,18.32432178602161,46240.260547092716,10.166942083653154
39,utilitypv_losangeles,2,0.0,0.0,0.0,0.0,0.0,0.0
40,battery,2,-0.0,0.0,-0.0,-0.0,0.0,0.0
41,naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0,0.0
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
43,naturalgas_ccavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
44,naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
45,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
47,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
52,utilitypv_losangeles,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
53,utilitypv_losangeles,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
54,battery,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0
