time_index,gen_full,cf
1,ca_n_batteries_1,1.0
2,ca_n_batteries_1,1.0
3,ca_n_batteries_1,1.0
4,ca_n_batteries_1,1.0
5,ca_n_batteries_1,1.0
6,ca_n_batteries_1,1.0
7,ca_n_batteries_1,1.0
8,ca_n_batteries_1,1.0
9,ca_n_batteries_1,1.0
10,ca_n_batteries_1,1.0
11,ca_n_batteries_1,1.0
12,ca_n_batteries_1,1.0
13,ca_n_batteries_1,1.0
14,ca_n_batteries_1,1.0
15,ca_n_batteries_1,1.0
16,ca_n_batteries_1,1.0
17,ca_n_batteries_1,1.0
18,ca_n_batteries_1,1.0
19,ca_n_batteries_1,1.0
20,ca_n_batteries_1,1.0
21,ca_n_batteries_1,1.0
22,ca_n_batteries_1,1.0
23,ca_n_batteries_1,1.0
24,ca_n_batteries_1,1.0
1,ca_n_biomass_1,1.0
2,ca_n_biomass_1,1.0
3,ca_n_biomass_1,1.0
4,ca_n_biomass_1,1.0
5,ca_n_biomass_1,1.0
6,ca_n_biomass_1,1.0
7,ca_n_biomass_1,1.0
8,ca_n_biomass_1,1.0
9,ca_n_biomass_1,1.0
10,ca_n_biomass_1,1.0
11,ca_n_biomass_1,1.0
12,ca_n_biomass_1,1.0
13,ca_n_biomass_1,1.0
14,ca_n_biomass_1,1.0
15,ca_n_biomass_1,1.0
16,ca_n_biomass_1,1.0
17,ca_n_biomass_1,1.0
18,ca_n_biomass_1,1.0
19,ca_n_biomass_1,1.0
20,ca_n_biomass_1,1.0
21,ca_n_biomass_1,1.0
22,ca_n_biomass_1,1.0
23,ca_n_biomass_1,1.0
24,ca_n_biomass_1,1.0
1,ca_n_conventional_hydroelectric_1,0.23
2,ca_n_conventional_hydroelectric_1,0.229
3,ca_n_conventional_hydroelectric_1,0.229
4,ca_n_conventional_hydroelectric_1,0.229
5,ca_n_conventional_hydroelectric_1,0.228
6,ca_n_conventional_hydroelectric_1,0.228
7,ca_n_conventional_hydroelectric_1,0.228
8,ca_n_conventional_hydroelectric_1,0.227
9,ca_n_conventional_hydroelectric_1,0.227
10,ca_n_conventional_hydroelectric_1,0.227
11,ca_n_conventional_hydroelectric_1,0.226
12,ca_n_conventional_hydroelectric_1,0.226
13,ca_n_conventional_hydroelectric_1,0.226
14,ca_n_conventional_hydroelectric_1,0.225
15,ca_n_conventional_hydroelectric_1,0.225
16,ca_n_conventional_hydroelectric_1,0.225
17,ca_n_conventional_hydroelectric_1,0.224
18,ca_n_conventional_hydroelectric_1,0.224
19,ca_n_conventional_hydroelectric_1,0.224
20,ca_n_conventional_hydroelectric_1,0.224
21,ca_n_conventional_hydroelectric_1,0.223
22,ca_n_conventional_hydroelectric_1,0.223
23,ca_n_conventional_hydroelectric_1,0.223
24,ca_n_conventional_hydroelectric_1,0.222
1,ca_n_geothermal_1,1.0
2,ca_n_geothermal_1,1.0
3,ca_n_geothermal_1,1.0
4,ca_n_geothermal_1,1.0
5,ca_n_geothermal_1,1.0
6,ca_n_geothermal_1,1.0
7,ca_n_geothermal_1,1.0
8,ca_n_geothermal_1,1.0
9,ca_n_geothermal_1,1.0
10,ca_n_geothermal_1,1.0
11,ca_n_geothermal_1,1.0
12,ca_n_geothermal_1,1.0
13,ca_n_geothermal_1,1.0
14,ca_n_geothermal_1,1.0
15,ca_n_geothermal_1,1.0
16,ca_n_geothermal_1,1.0
17,ca_n_geothermal_1,1.0
18,ca_n_geothermal_1,1.0
19,ca_n_geothermal_1,1.0
20,ca_n_geothermal_1,1.0
21,ca_n_geothermal_1,1.0
22,ca_n_geothermal_1,1.0
23,ca_n_geothermal_1,1.0
24,ca_n_geothermal_1,1.0
1,ca_n_hydroelectric_pumped_storage_1,1.0
2,ca_n_hydroelectric_pumped_storage_1,1.0
3,ca_n_hydroelectric_pumped_storage_1,1.0
