ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,CA_N_batteries_1,1,2613.1,2613.1,0.0,2.3262708092228257,3906.6302620006686,0.4974463228143965
2,CA_N_biomass_1,1,250.4,250.4,0.0,0.22291462654678182,2187.494400000005,0.27854211237789794
3,CA_N_conventional_hydroelectric_1,1,7519.1,7519.1,0.0,6.693759458737649,11668.673236100007,1.485817239957611
4,CA_N_geothermal_1,1,757.8,757.8,0.0,0.6746194249087509,6620.14080000001,0.8429681020765611
5,CA_N_hydroelectric_pumped_storage_1,1,2276.9,2276.9,0.0,2.0269740941867713,1590.003381284152,0.20246127282012105
6,CA_N_natural_gas_fired_combined_cycle_1,1,0.0,3112.8,-3112.8,0.0,0.0,0.0
7,CA_N_natural_gas_fired_combined_cycle_2,1,0.0,8296.9,-8296.9,0.0,0.0,0.0
8,CA_N_natural_gas_fired_combustion_turbine_1,1,0.0,2248.7,-2248.7,0.0,0.0,0.0
9,CA_N_natural_gas_fired_combustion_turbine_2,1,0.0,2483.5,-2483.5,0.0,0.0,0.0
10,CA_N_natural_gas_steam_turbine_1,1,0.0,2.9,-2.9,0.0,0.0,0.0
11,CA_N_onshore_wind_turbine_1,1,0.0,1486.7,-1486.7,0.0,0.0,0.0
12,CA_N_other_peaker_1,1,0.0,691.3,-691.3,0.0,0.0,0.0
13,CA_N_small_hydroelectric_1,1,116.80000000000045,116.8,4.547473508864641e-13,0.10397934656814782,1020.364799999998,0.12992699171620745
14,CA_N_solar_photovoltaic_1,1,6164.9,6164.9,0.0,5.4882043977566095,10540.000067099998,1.342098925214717
15,CA_S_batteries_1,2,9081.9,9081.9,0.0,8.085017359565565,10739.083777848631,1.3674490231770042
16,CA_S_biomass_1,2,180.8,180.8,0.0,0.16095433098905013,1579.4687999999974,0.20111986388947184
17,CA_S_conventional_hydroelectric_1,2,1349.7,1349.7,0.0,1.2015490073889432,1907.0842592999973,0.2428364059208832
18,CA_S_geothermal_1,2,507.6,507.6,0.0,0.45188284518828453,4434.393600000016,0.5646484674242059
19,CA_S_hydroelectric_pumped_storage_1,2,1012.54462906036,1665.0,-652.45537093964,0.9014017885341048,1043.2940791775752,0.13284666541110918
20,CA_S_natural_gas_fired_combined_cycle_1,2,0.0,2614.4,-2614.4,0.0,0.0,0.0
21,CA_S_natural_gas_fired_combined_cycle_2,2,0.0,7481.6,-7481.6,0.0,0.0,0.0
22,CA_S_natural_gas_fired_combustion_turbine_1,2,0.0,4877.4,-4877.4,0.0,0.0,0.0
23,CA_S_natural_gas_fired_combustion_turbine_2,2,0.0,2073.2,-2073.2,0.0,0.0,0.0
24,CA_S_natural_gas_steam_turbine_1,2,0.0,2942.0,-2942.0,0.0,0.0,0.0
25,CA_S_onshore_wind_turbine_1,2,4823.3,4823.3,0.0,4.293866286833437,13013.509388299999,1.6570604224023062
26,CA_S_other_peaker_1,2,0.0,116.2,-116.2,0.0,0.0,0.0
27,CA_S_small_hydroelectric_1,2,72.8,72.8,0.0,0.06480904477877682,635.980799999998,0.08098189209708809
28,CA_S_solar_photovoltaic_1,2,15818.6,15818.6,0.0,14.082257633757678,27846.272510000003,3.5457734505679066
29,WECC_N_batteries_1,3,342.0,342.0,0.0,0.3044600729991988,309.964580341027,0.03946898742713038
30,WECC_N_biomass_1,3,28.6,28.6,0.0,0.025460696163090896,93.77939999999997,0.011941293277611028
31,WECC_N_conventional_hydroelectric_1,3,4627.9,4627.9,0.0,4.119914537523369,9520.270695046229,1.2122528449936005
32,WECC_N_conventional_steam_coal_1,3,0.0,4629.2,-4629.2,0.0,0.0,0.0
33,WECC_N_geothermal_1,3,450.3,450.3,0.0,0.4008724294489451,2598.195120157181,0.3308382216377449
34,WECC_N_natural_gas_fired_combined_cycle_1,3,0.0,442.2,-442.2,0.0,0.0,0.0
35,WECC_N_natural_gas_fired_combined_cycle_2,3,0.0,3592.4,-3592.4,0.0,0.0,0.0
36,WECC_N_natural_gas_fired_combustion_turbine_1,3,0.0,1033.1,-1033.1,0.0,0.0,0.0
37,WECC_N_natural_gas_fired_combustion_turbine_2,3,0.0,267.2,-267.2,0.0,0.0,0.0
38,WECC_N_natural_gas_steam_turbine_1,3,0.0,362.2,-362.2,0.0,0.0,0.0
39,WECC_N_onshore_wind_turbine_1,3,3052.8,3052.8,0.0,2.717706756877059,8176.632656398546,1.0411622229759074
40,WECC_N_other_peaker_1,3,0.0,328.7,-328.7,0.0,0.0,0.0
41,WECC_N_solar_photovoltaic_1,3,4142.8,4142.8,0.0,3.688061960295558,5928.4420844,0.7548914325443761
42,WECC_NMAZ_batteries_1,4,1296.6,1296.6,0.0,1.1542775750022254,1339.1607375973379,0.17052050997886237
43,WECC_NMAZ_biomass_1,4,20.9,20.9,0.0,0.01860589334995104,182.58240000000032,0.023248922319081725
44,WECC_NMAZ_conventional_hydroelectric_1,4,3963.0,3963.0,0.0,3.527997863438084,9869.760350999988,1.256754712986307
45,WECC_NMAZ_conventional_steam_coal_1,4,0.0,2562.0,-2562.0,0.0,0.0,0.0
