ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,CA_N_batteries_1,1,0.0,2613.1,-2613.1,0.0,0.0,0.0
2,CA_N_biomass_1,1,250.4,250.4,0.0,0.22291462654678182,234.59311943774378,0.029871648145709313
3,CA_N_conventional_hydroelectric_1,1,7519.1,7519.1,0.0,6.693759458737649,4751.904344147335,0.6050783370400881
4,CA_N_geothermal_1,1,757.8,757.8,0.0,0.6746194249087509,2702.1421448652513,0.3440741978475964
5,CA_N_hydroelectric_pumped_storage_1,1,0.0,2276.9,-2276.9,0.0,0.0,0.0
6,CA_N_natural_gas_fired_combined_cycle_1,1,0.0,3112.8,-3112.8,0.0,0.0,0.0
7,CA_N_natural_gas_fired_combined_cycle_2,1,0.0,8296.9,-8296.9,0.0,0.0,0.0
8,CA_N_natural_gas_fired_combustion_turbine_1,1,0.0,2248.7,-2248.7,0.0,0.0,0.0
9,CA_N_natural_gas_fired_combustion_turbine_2,1,0.0,2483.5,-2483.5,0.0,0.0,0.0
10,CA_N_natural_gas_steam_turbine_1,1,0.0,2.9,-2.9,0.0,0.0,0.0
11,CA_N_onshore_wind_turbine_1,1,0.0,1486.7,-1486.7,0.0,0.0,0.0
12,CA_N_other_peaker_1,1,0.0,691.3,-691.3,0.0,0.0,0.0
13,CA_N_small_hydroelectric_1,1,116.8,116.8,0.0,0.10397934656814743,461.45241139864163,0.058758518162538895
14,CA_N_solar_photovoltaic_1,1,6164.9,6164.9,0.0,5.4882043977566095,10520.14877026783,1.339571182902292
15,CA_S_batteries_1,2,0.0,9081.9,-9081.9,0.0,0.0,0.0
16,CA_S_biomass_1,2,180.8,180.8,0.0,0.16095433098905013,142.99096334469675,0.018207591745598214
17,CA_S_conventional_hydroelectric_1,2,1349.7,1349.7,0.0,1.2015490073889432,737.6622860986465,0.09392938852388642
18,CA_S_geothermal_1,2,507.6,507.6,0.0,0.45188284518828453,1582.1921292427849,0.20146663592234493
19,CA_S_hydroelectric_pumped_storage_1,2,0.0,1665.0,-1665.0,0.0,0.0,0.0
20,CA_S_natural_gas_fired_combined_cycle_1,2,0.0,2614.4,-2614.4,0.0,0.0,0.0
21,CA_S_natural_gas_fired_combined_cycle_2,2,0.0,7481.6,-7481.6,0.0,0.0,0.0
22,CA_S_natural_gas_fired_combustion_turbine_1,2,0.0,4877.4,-4877.4,0.0,0.0,0.0
23,CA_S_natural_gas_fired_combustion_turbine_2,2,0.0,2073.2,-2073.2,0.0,0.0,0.0
24,CA_S_natural_gas_steam_turbine_1,2,0.0,2942.0,-2942.0,0.0,0.0,0.0
25,CA_S_onshore_wind_turbine_1,2,0.0,4823.3,-4823.3,0.0,0.0,0.0
26,CA_S_other_peaker_1,2,0.0,116.2,-116.2,0.0,0.0,0.0
27,CA_S_small_hydroelectric_1,2,72.8,72.8,0.0,0.06480904477877682,227.731636710232,0.028997949043683913
28,CA_S_solar_photovoltaic_1,2,15818.600000000002,15818.6,1.8189894035458565e-12,14.082257633757681,27619.266326694385,3.5168678763087033
29,WECC_N_batteries_1,3,0.0,342.0,-342.0,0.0,0.0,0.0
30,WECC_N_biomass_1,3,28.6,28.6,0.0,0.025460696163090896,4.461600000000001,0.0005681127634362066
31,WECC_N_conventional_hydroelectric_1,3,4627.9,4627.9,0.0,4.119914537523369,2830.1522693521565,0.3603742215095268
32,WECC_N_conventional_steam_coal_1,3,0.0,4629.2,-4629.2,0.0,0.0,0.0
33,WECC_N_geothermal_1,3,450.3,450.3,0.0,0.4008724294489451,1938.657272949896,0.24685671971742548
34,WECC_N_natural_gas_fired_combined_cycle_1,3,0.0,442.2,-442.2,0.0,0.0,0.0
35,WECC_N_natural_gas_fired_combined_cycle_2,3,0.0,3592.4,-3592.4,0.0,0.0,0.0
36,WECC_N_natural_gas_fired_combustion_turbine_1,3,0.0,1033.1,-1033.1,0.0,0.0,0.0
37,WECC_N_natural_gas_fired_combustion_turbine_2,3,0.0,267.2,-267.2,0.0,0.0,0.0
38,WECC_N_natural_gas_steam_turbine_1,3,0.0,362.2,-362.2,0.0,0.0,0.0
39,WECC_N_onshore_wind_turbine_1,3,0.0,3052.8,-3052.8,0.0,0.0,0.0
40,WECC_N_other_peaker_1,3,0.0,328.7,-328.7,0.0,0.0,0.0
41,WECC_N_solar_photovoltaic_1,3,4142.8,4142.8,0.0,3.688061960295558,5515.525978306836,0.702313229635127
42,WECC_NMAZ_batteries_1,4,0.0,1296.6,-1296.6,0.0,0.0,0.0
43,WECC_NMAZ_biomass_1,4,20.9,20.9,0.0,0.01860589334995104,5.7684,0.0007345126556852729
44,WECC_NMAZ_conventional_hydroelectric_1,4,3963.0,3963.0,0.0,3.527997863438084,1679.7152515963112,0.21388463182946102
45,WECC_NMAZ_conventional_steam_coal_1,4,0.0,2562.0,-2562.0,0.0,0.0,0.0
46,WECC_NMAZ_geothermal_1,4,5.8,5.8,0.0,0.005163357963144307,9.483000000000004,0.001207507023414369
47,WECC_NMAZ_hydroelectric_pumped_storage_1,4,0.0,216.3,-216.3,0.0,0.0,0.0
48,WECC_NMAZ_natural_gas_fired_combined_cycle_1,4,0.0,1129.3,-1129.3,0.0,0.0,0.0
49,WECC_NMAZ_natural_gas_fired_combined_cycle_2,4,0.0,15426.2,-15426.2,0.0,0.0,0.0
50,WECC_NMAZ_natural_gas_fired_combustion_turbine_1,4,0.0,5382.2,-5382.2,0.0,0.0,0.0
51,WECC_NMAZ_natural_gas_fired_combustion_turbine_2,4,0.0,348.0,-348.0,0.0,0.0,0.0
52,WECC_NMAZ_natural_gas_steam_turbine_1,4,0.0,1536.0,-1536.0,0.0,0.0,0.0
53,WECC_NMAZ_nuclear_1,4,0.0,4003.0,-4003.0,0.0,0.0,0.0
54,WECC_NMAZ_onshore_wind_turbine_1,4,0.0,4340.7,-4340.7,0.0,0.0,0.0
55,WECC_NMAZ_other_peaker_1,4,0.0,501.7,-501.7,0.0,0.0,0.0
56,WECC_NMAZ_solar_photovoltaic_1,4,8407.3,8407.3,0.0,7.484465414403988,14650.677167003249,1.8655273201447795
57,WECC_PNW_batteries_1,5,0.0,41.0,-41.0,0.0,0.0,0.0
58,WECC_PNW_biomass_1,5,191.3,191.3,0.0,0.17030178937060447,176.70118553444817,0.02250004456168845
59,WECC_PNW_conventional_hydroelectric_1,5,30586.100000000002,30586.1,3.637978807091713e-12,27.228790171815188,40801.4225937389,5.195402757274851
60,WECC_PNW_geothermal_1,5,22.6,22.6,0.0,0.020119291373631266,74.26359999999991,0.009456271072870948
61,WECC_PNW_hydroelectric_pumped_storage_1,5,0.0,314.0,-314.0,0.0,0.0,0.0
62,WECC_PNW_natural_gas_fired_combined_cycle_1,5,0.0,2899.0,-2899.0,0.0,0.0,0.0
63,WECC_PNW_natural_gas_fired_combined_cycle_2,5,0.0,4016.2,-4016.2,0.0,0.0,0.0
64,WECC_PNW_natural_gas_fired_combustion_turbine_1,5,0.0,776.2,-776.2,0.0,0.0,0.0
65,WECC_PNW_natural_gas_fired_combustion_turbine_2,5,0.0,422.4,-422.4,0.0,0.0,0.0
66,WECC_PNW_natural_gas_steam_turbine_1,5,0.0,3.0,-3.0,0.0,0.0,0.0
67,WECC_PNW_nuclear_1,5,0.0,1172.0,-1172.0,0.0,0.0,0.0
68,WECC_PNW_onshore_wind_turbine_1,5,0.0,7350.0,-7350.0,0.0,0.0,0.0
69,WECC_PNW_other_peaker_1,5,0.0,279.6,-279.6,0.0,0.0,0.0
70,WECC_PNW_solar_photovoltaic_1,5,1448.6,1448.6,0.0,1.2895931630018695,1603.9840789999994,0.20424148906857814
71,WECC_WYCO_batteries_1,6,0.0,240.2,-240.2,0.0,0.0,0.0
72,WECC_WYCO_biomass_1,6,10.8,10.8,0.0,0.009614528621027331,1.8468000000000002,0.00023516017830239966
73,WECC_WYCO_conventional_hydroelectric_1,6,974.1,974.1,0.0,0.8671770675687706,238.15295169097195,0.03032493533836459
74,WECC_WYCO_conventional_steam_coal_1,6,0.0,6261.0,-6261.0,0.0,0.0,0.0
75,WECC_WYCO_hydroelectric_pumped_storage_1,6,0.0,580.8,-580.8,0.0,0.0,0.0
76,WECC_WYCO_natural_gas_fired_combined_cycle_1,6,0.0,1606.5,-1606.5,0.0,0.0,0.0
77,WECC_WYCO_natural_gas_fired_combined_cycle_2,6,0.0,1955.0,-1955.0,0.0,0.0,0.0
78,WECC_WYCO_natural_gas_fired_combustion_turbine_1,6,0.0,303.8,-303.8,0.0,0.0,0.0
79,WECC_WYCO_natural_gas_fired_combustion_turbine_2,6,0.0,2853.0,-2853.0,0.0,0.0,0.0
80,WECC_WYCO_natural_gas_steam_turbine_1,6,0.0,98.0,-98.0,0.0,0.0,0.0
81,WECC_WYCO_onshore_wind_turbine_1,6,0.0,11507.5,-11507.5,0.0,0.0,0.0
82,WECC_WYCO_other_peaker_1,6,0.0,442.2,-442.2,0.0,0.0,0.0
