ID,Zone,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
1,1,CA_N_batteries_1,19019.5,19019.5,0.0
5,1,CA_N_hydroelectric_pumped_storage_1,35292.0,35292.0,0.0
15,2,CA_S_batteries_1,59496.9,59496.9,0.0
19,2,CA_S_hydroelectric_pumped_storage_1,25807.5,25807.5,0.0
29,3,WECC_N_batteries_1,1989.0,1989.0,0.0
42,4,WECC_NMAZ_batteries_1,9737.8,9737.8,0.0
47,4,WECC_NMAZ_hydroelectric_pumped_storage_1,3352.6,3352.6,0.0
57,5,WECC_PNW_batteries_1,107.4,107.4,0.0
61,5,WECC_PNW_hydroelectric_pumped_storage_1,4867.0,4867.0,0.0
71,6,WECC_WYCO_batteries_1,1868.7,1868.7,0.0
75,6,WECC_WYCO_hydroelectric_pumped_storage_1,9002.4,9002.4,0.0
86,1,CA_N_battery_moderate_0,0.0,0.0,0.0
123,2,CA_S_battery_moderate_0,0.0,0.0,0.0
158,3,WECC_N_battery_moderate_0,0.0,0.0,0.0
188,4,WECC_NMAZ_battery_moderate_0,0.0,0.0,0.0
218,5,WECC_PNW_battery_moderate_0,0.0,0.0,0.0
258,6,WECC_WYCO_battery_moderate_0,0.0,0.0,0.0
